// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
21392	9.797257	0.000174	-0.343371	-0.002436	0.000633	-0.010109	-179.945687	-87.992553	-48.959994
21393	9.785157	0.001514	-0.452383	-0.000315	-0.010831	-0.008643	179.861684	-87.356109	-49.178623
21394	9.747938	0.022166	-0.372044	-0.001583	-0.005134	-0.014069	179.817763	-87.671326	-48.930967
21395	9.761121	0.038683	-0.429201	-0.000842	-0.011510	-0.015816	179.595593	-87.664685	-48.709095
21396	9.750818	0.016630	-0.407326	-0.002516	-0.012079	-0.015736	179.402752	-87.658327	-48.517133
21397	9.770030	0.033244	-0.410540	-0.002287	-0.010861	-0.020166	179.121250	-87.651956	-48.236707
21398	9.732646	0.037688	-0.451793	-0.001424	-0.019725	-0.016682	178.891120	-87.640461	-48.007201
21399	9.710358	0.033127	-0.417918	-0.001939	-0.012132	-0.019365	178.624856	-87.633271	-47.741822
21400	9.659615	0.005796	-0.523516	-0.000671	-0.014729	-0.021388	178.329434	-87.624309	-47.446539
21401	9.710255	0.037025	-0.419978	0.001191	-0.000839	-0.018055	178.081295	-87.623505	-47.197505
21402	9.730630	0.086149	-0.466572	-0.004302	-0.010158	-0.020893	177.790415	-87.616578	-46.908851
21403	9.732392	0.047135	-0.456354	0.002060	0.001667	-0.017528	177.549556	-87.617124	-46.666602
21404	9.760657	0.054869	-0.437895	0.000039	-0.009001	-0.015294	177.329581	-87.610400	-46.446442
21405	9.747965	0.146707	-0.480309	0.000219	0.004318	-0.011879	177.163876	-87.612545	-46.280468
21406	9.681197	0.111894	-0.494682	0.003396	0.000411	-0.010964	176.980507	-87.610712	-46.095052
21407	9.633697	0.091589	-0.510804	0.003808	0.011850	-0.004531	176.911792	-87.617354	-46.024093
21408	9.637400	0.010378	-0.488224	0.008599	0.015444	-0.007792	176.742486	-87.622983	-45.849806
21409	9.663947	0.058290	-0.478250	0.010562	0.021674	-0.011167	176.576802	-87.635008	-45.677924
21410	9.706156	0.007438	-0.459126	0.005653	0.020570	-0.013141	176.324569	-87.642297	-45.422331
21411	9.676168	0.043493	-0.486281	0.007157	0.027463	-0.015105	176.092899	-87.657425	-45.186363
