// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
21392	9.770842	0.364919	0.410408	0.001495	-0.002217	-0.005223	41.614370	-86.783526	151.206795
21393	9.788395	0.353335	0.422542	-0.001348	0.001961	0.000066	39.909838	-86.779703	152.900644
21394	9.771806	0.345159	0.438440	0.002511	-0.001378	-0.002892	40.765773	-86.781980	152.049921
21395	9.733121	0.349513	0.399952	-0.000559	-0.002094	-0.004236	40.812068	-86.781303	152.003232
21396	9.750682	0.338002	0.411861	0.000332	-0.002801	-0.002397	40.840955	-86.780721	151.974479
21397	9.788388	0.354277	0.421920	0.001348	-0.001961	-0.000066	40.855302	-86.781546	151.960882
21398	9.749710	0.358400	0.383372	0.000332	-0.002801	-0.002397	40.892053	-86.781884	151.924262
21399	9.784834	0.335162	0.407405	0.003549	-0.002340	-0.006210	40.957507	-86.780566	151.860741
21400	9.754241	0.358849	0.424811	0.002261	-0.004470	-0.003875	41.018190	-86.781177	151.801258
21401	9.770832	0.367303	0.408505	0.002114	-0.004214	0.001282	41.037740	-86.783480	151.782890
21402	9.784847	0.335998	0.406408	0.000147	-0.000256	-0.005157	41.078974	-86.781755	151.741675
21403	9.767265	0.348356	0.394163	0.000022	-0.001802	-0.005649	41.134417	-86.780405	151.686157
21404	9.784828	0.336973	0.406072	0.002386	-0.002923	-0.003384	41.180345	-86.780693	151.641521
21405	9.750682	0.340839	0.409534	0.000913	-0.002509	-0.003809	41.226896	-86.780337	151.595422
21406	9.767262	0.349495	0.393222	0.001555	-0.006307	-0.002954	41.289347	-86.782433	151.533751
21407	9.784849	0.338005	0.404690	-0.000042	-0.007439	-0.003871	41.369039	-86.784168	151.453909
21408	9.767287	0.350138	0.392047	0.000332	-0.002800	-0.002396	41.402040	-86.785220	151.421031
21409	9.768304	0.330285	0.419447	0.002778	-0.009814	-0.003511	41.496788	-86.788103	151.327728
21410	9.787425	0.379002	0.388991	0.002656	-0.001633	-0.008049	41.563453	-86.786735	151.262455
21411	9.754280	0.362896	0.420458	0.000207	-0.004346	-0.002888	41.615063	-86.787499	151.210882
21412	9.749726	0.363769	0.377860	0.000539	-0.007146	-0.005284	41.699499	-86.789501	151.126604
21413	9.771884	0.351811	0.431360	0.000974	-0.006599	-0.001540	41.756683	-86.791735	151.069889
21414	9.784902	0.340757	0.401078	0.003091	-0.001085	-0.004305	41.793043	-86.791558	151.035235
21415	9.750758	0.344686	0.404472	0.002136	-0.006015	-0.004366	41.868515	-86.792456	150.960871
21416	9.767332	0.353469	0.387915	0.002011	-0.007560	-0.004858	41.952431	-86.795241	150.877875
21417	9.788467	0.361750	0.413664	-0.000436	-0.000548	-0.003743	41.984492	-86.794045	150.845510
21418	9.770880	0.373943	0.401281	0.002260	-0.004468	-0.003875	42.031326	-86.795852	150.800129
21419	9.771904	0.354182	0.428957	0.000912	-0.002508	-0.003809	42.077867	-86.795456	150.754046
21420	9.767328	0.355031	0.386576	0.002260	-0.004468	-0.003875	42.125298	-86.796976	150.707855
21421	9.767331	0.355384	0.386164	-0.001266	-0.003932	-0.003313	42.176516	-86.797368	150.655842
21422	9.767334	0.355796	0.385722	-0.000810	-0.005185	-0.005217	42.247394	-86.798993	150.583980
21423	9.783890	0.364473	0.369516	0.000456	-0.001254	-0.001905	42.270686	-86.798784	150.560912
21424	9.770871	0.376235	0.399358	0.000725	0.000037	-0.006570	42.315720	-86.797699	150.515935
21425	9.736726	0.380063	0.402806	-0.001078	-0.006476	-0.000552	42.363896	-86.800204	150.467052
21426	9.770873	0.376901	0.398664	-0.001453	-0.001387	-0.006073	42.437196	-86.800870	150.392156
21427	9.784910	0.345850	0.396505	0.000207	-0.004346	-0.002887	42.489693	-86.801591	150.339663
21428	9.754329	0.369282	0.413716	-0.002095	-0.007315	-0.002881	42.567581	-86.805859	150.260307
21429	9.788482	0.366077	0.409480	-0.001141	-0.002385	-0.002821	42.605471	-86.805787	150.221667
21430	9.737802	0.361361	0.428694	0.000395	-0.006890	-0.000126	42.665223	-86.809744	150.161033
21431	9.783910	0.366900	0.366555	-0.000561	-0.002093	-0.004234	42.712456	-86.808985	150.113337
21432	9.770902	0.378706	0.396250	0.001492	-0.002215	-0.005222	42.741104	-86.810643	150.087464
21433	9.774449	0.398646	0.410051	0.001348	-0.001960	-0.000066	42.756605	-86.811490	150.072709
21434	9.784946	0.347368	0.394293	-0.001680	0.004759	0.002462	42.682599	-86.811022	150.146718
21435	9.715604	0.374520	0.373926	0.000912	-0.002507	-0.003809	42.729493	-86.810645	150.100301
21436	9.797937	0.336322	0.364319	-0.001597	-0.001132	-0.000916	42.753888	-86.814915	150.076666
21437	9.771933	0.359244	0.424080	-0.001910	-0.000133	-0.004168	42.785450	-86.813458	150.044022
21438	9.788476	0.367745	0.408134	0.002946	-0.000828	0.000850	42.817916	-86.818430	150.013549
