// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46937	9.683738	0.357980	0.124559	-0.018286	0.019763	-0.011445	70.929169	-87.763485	72.035780
46938	9.802799	0.365882	0.161869	-0.021536	0.016893	-0.002843	66.241655	-87.665543	77.151251
46939	9.905514	0.379316	0.320078	-0.017952	0.020940	0.007692	68.297645	-87.720961	74.860120
46940	9.924318	0.402063	0.336941	-0.014087	-0.005914	0.018939	68.267725	-87.732296	74.881986
46941	9.839666	0.370342	0.256683	-0.007435	-0.020811	0.021551	68.406191	-87.748853	74.739953
46942	9.792323	0.373286	0.227975	-0.003679	-0.025897	0.023475	68.630933	-87.766803	74.512930
46943	9.659602	0.319985	0.161038	0.000394	-0.023467	0.018901	68.844953	-87.781610	74.298963
46944	9.621797	0.256726	0.147823	0.002415	-0.008208	0.015801	68.875356	-87.791750	74.269922
46945	9.612888	0.178021	0.125885	0.007379	0.004129	0.009664	68.758091	-87.796141	74.391487
46946	9.684255	0.176325	0.156476	0.002356	0.020467	0.002752	68.460958	-87.793332	74.690192
46947	9.773846	0.172285	0.244992	0.002127	0.025011	0.002736	68.077792	-87.790617	75.074824
46948	9.869312	0.188328	0.259347	-0.000330	0.022287	0.003943	67.749083	-87.787910	75.403588
46949	9.906595	0.222864	0.313617	-0.002047	0.012823	0.001476	67.502274	-87.788003	75.649312
46950	9.896731	0.275855	0.319639	-0.004098	-0.005880	0.006437	67.544062	-87.792699	75.605144
46951	9.838892	0.306897	0.338426	-0.003677	-0.020140	0.009263	67.653308	-87.804381	75.493537
46952	9.767085	0.280202	0.347362	-0.008363	-0.030131	0.011693	68.000574	-87.817100	75.141222
46953	9.666643	0.282675	0.345231	-0.005697	-0.035408	0.012367	68.247502	-87.833296	74.890593
46954	9.659156	0.271256	0.217411	-0.005557	-0.047989	0.005619	68.891676	-87.846339	74.242775
46955	9.651548	0.260404	0.089624	-0.005722	-0.034827	0.000950	69.150988	-87.856180	73.979674
46956	9.641230	0.287365	0.132982	-0.004910	-0.031229	-0.008308	69.640532	-87.858021	73.486972
46957	9.661894	0.235033	0.037215	-0.001339	-0.024873	-0.010128	69.830065	-87.860647	73.296264
46958	9.661625	0.223024	0.056059	-0.005015	-0.007712	-0.018566	70.035598	-87.852172	73.087713
46959	9.770699	0.271773	0.116471	0.006066	-0.011530	-0.016549	70.083463	-87.850767	73.043007
46960	9.855650	0.302896	0.194612	0.005347	-0.001334	-0.014738	70.181959	-87.843085	72.947508
46961	9.868964	0.321303	0.263692	0.005263	-0.015134	-0.007287	70.234677	-87.847760	72.897382
46962	9.838034	0.401811	0.401625	0.013910	-0.018225	-0.005924	70.534655	-87.848069	72.605168
46963	9.853944	0.382266	0.297724	0.016113	-0.051144	0.001011	70.975182	-87.862501	72.173465
46964	9.768401	0.312446	0.275381	0.022110	-0.047244	0.000774	71.672407	-87.871594	71.488437
46965	9.765761	0.295143	0.112912	0.022579	-0.058086	0.001755	72.175658	-87.886310	70.996732
46966	9.709023	0.209371	0.080287	0.019690	-0.046542	0.000135	72.876669	-87.894388	70.306529
46967	9.700566	0.172094	-0.006839	0.020821	-0.039459	-0.002345	73.219890	-87.903463	69.974823
46968	9.671138	0.148144	0.061583	0.012552	-0.022519	-0.002520	73.576693	-87.905760	69.624976
46969	9.756532	0.191419	0.117971	0.009389	-0.011582	-0.001374	73.441237	-87.915350	69.765454
46970	9.793824	0.199808	0.209556	0.006337	-0.020153	-0.003223	73.764344	-87.916827	69.445765
46971	9.802413	0.237510	0.290548	0.003648	-0.018325	-0.002030	73.743637	-87.928160	69.468531
46972	9.773423	0.240447	0.318667	0.001088	-0.032558	-0.005696	74.265753	-87.930158	68.946703
46973	9.763671	0.294459	0.320699	0.000477	-0.041864	-0.006890	74.581454	-87.941257	68.631532
46974	9.803363	0.306048	0.177533	-0.003674	-0.054090	-0.008109	75.447622	-87.944782	67.762725
46975	9.856590	0.335125	0.103460	0.000117	-0.055746	-0.008050	75.805742	-87.958361	67.406624
