// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46937	9.620049	1.484253	-0.428225	-0.044496	0.011944	-0.016609	106.134947	-80.880915	-60.993636
46938	9.587054	1.485403	-0.437530	-0.041275	0.004392	-0.012339	106.437982	-80.827864	-61.516520
46939	9.595044	1.474257	-0.405121	-0.041779	0.008284	-0.009893	106.265943	-80.853962	-61.265246
46940	9.596668	1.385039	-0.516787	-0.041858	0.002512	-0.006886	106.226526	-80.850577	-61.249612
46941	9.597374	1.416357	-0.407899	-0.033042	0.013467	-0.003450	106.142959	-80.857200	-61.186685
46942	9.606897	1.399580	-0.435059	-0.040423	0.002159	-0.000653	106.111769	-80.857184	-61.178553
46943	9.625541	1.451310	-0.437796	-0.033658	0.004443	-0.007663	106.060779	-80.856450	-61.147630
46944	9.605387	1.405461	-0.373903	-0.028186	0.001452	-0.003389	106.036329	-80.854814	-61.139223
46945	9.609222	1.341970	-0.437827	-0.031286	0.010518	-0.008031	105.957939	-80.857207	-61.080149
46946	9.641955	1.343178	-0.426334	-0.019601	-0.002020	-0.006232	105.947524	-80.853456	-61.080975
46947	9.653506	1.352691	-0.406317	-0.012454	0.006259	-0.008250	105.913770	-80.850994	-61.053828
46948	9.628035	1.310246	-0.492875	-0.001349	0.006127	-0.009231	105.883044	-80.846869	-61.023489
46949	9.572539	1.323636	-0.434755	0.008008	0.003241	-0.009149	105.875311	-80.844117	-61.010506
46950	9.613280	1.447986	-0.453134	0.008395	0.003531	-0.007687	105.860578	-80.840434	-60.990711
46951	9.623382	1.462141	-0.373746	0.009523	0.002964	-0.009443	105.875200	-80.833320	-60.997061
46952	9.621153	1.437312	-0.421508	-0.002238	0.004028	-0.011772	105.848746	-80.827463	-60.971564
46953	9.624529	1.459548	-0.432637	-0.006512	0.003632	-0.009044	105.823214	-80.828528	-60.950122
46954	9.590190	1.464490	-0.383519	-0.007990	-0.000349	-0.006135	105.813892	-80.825092	-60.945316
46955	9.635944	1.469791	-0.412735	-0.011908	-0.001894	-0.008088	105.813229	-80.823551	-60.950987
46956	9.618616	1.414823	-0.468724	-0.014821	0.000175	-0.007884	105.796527	-80.819232	-60.942671
46957	9.619624	1.360680	-0.414460	-0.015170	-0.004374	-0.006732	105.804763	-80.819193	-60.959443
46958	9.620462	1.442121	-0.420858	-0.015169	-0.004374	-0.006732	105.804490	-80.814800	-60.967971
46959	9.629886	1.425879	-0.449484	-0.013924	-0.003425	-0.008872	105.824679	-80.810443	-60.993905
46960	9.629780	1.426702	-0.449135	-0.018629	0.005840	-0.006687	105.787664	-80.807667	-60.967221
46961	9.618051	1.418800	-0.468286	-0.021882	-0.002337	-0.008863	105.785680	-80.808413	-60.977430
46962	9.611862	1.457952	-0.451250	-0.021495	-0.002047	-0.007400	105.773212	-80.804014	-60.977275
46963	9.616351	1.425273	-0.408440	-0.027583	-0.002382	-0.012366	105.778513	-80.803360	-60.997508
46964	9.605968	1.413299	-0.487529	-0.030726	-0.003349	-0.011394	105.761372	-80.796560	-60.997978
46965	9.619994	1.363814	-0.473352	-0.024667	-0.004451	-0.012571	105.777064	-80.789138	-61.024693
46966	9.585568	1.369258	-0.424426	-0.019776	-0.000727	-0.014602	105.754202	-80.780968	-61.013008
46967	9.627724	1.354249	-0.442090	-0.012204	-0.002102	-0.016075	105.776392	-80.777333	-61.039770
46968	9.606309	1.364139	-0.433214	-0.004015	-0.000153	-0.016850	105.758461	-80.768009	-61.023932
46969	9.602560	1.344829	-0.421761	-0.002529	-0.001861	-0.023288	105.775210	-80.759790	-61.038840
46970	9.589402	1.393333	-0.495729	0.008960	-0.001686	-0.022808	105.764226	-80.746936	-61.022506
46971	9.616972	1.379359	-0.414253	0.007688	-0.004073	-0.026813	105.794167	-80.740893	-61.046025
46972	9.635128	1.433024	-0.418094	0.016649	-0.001542	-0.024663	105.785319	-80.727044	-61.027393
46973	9.610873	1.503177	-0.404013	0.016493	0.001200	-0.026889	105.823457	-80.724363	-61.053126
46974	9.622768	1.429182	-0.438131	0.014865	-0.000044	-0.026212	105.807146	-80.709908	-61.027965
46975	9.638890	1.456904	-0.490006	0.017309	-0.002479	-0.021355	105.845924	-80.710962	-61.055792
46976	9.607761	1.484207	-0.452990	0.015638	0.000535	-0.023287	105.830938	-80.698233	-61.031528
46977	9.607408	1.486416	-0.453229	0.013625	-0.001000	-0.024071	105.880614	-80.695649	-61.069511
46978	9.607065	1.488545	-0.453516	0.009352	-0.001406	-0.021342	105.870561	-80.683702	-61.053889
46979	9.606732	1.490613	-0.453777	0.007453	-0.001424	-0.022509	105.906959	-80.683190	-61.084303
46980	9.596162	1.428915	-0.419488	0.007725	-0.002650	-0.020664	105.900875	-80.671444	-61.073648
46981	9.628658	1.431462	-0.409150	0.004197	-0.003913	-0.021154	105.930086	-80.671814	-61.100775
46982	9.631764	1.454651	-0.420907	0.006822	0.000947	-0.019673	105.912371	-80.661213	-61.078866
46983	9.629481	1.430900	-0.468965	0.007681	0.001606	-0.023274	105.943141	-80.656828	-61.099056
46984	9.644182	1.462863	-0.460930	0.012139	0.000712	-0.017632	105.931393	-80.647299	-61.080093
46985	9.622639	1.473101	-0.452386	0.009605	-0.004074	-0.025636	105.952740	-80.636751	-61.090498
46986	9.622285	1.475362	-0.452549	0.008179	0.003411	-0.022195	105.925308	-80.625089	-61.057929
46987	9.594484	1.523962	-0.426627	0.001124	0.000882	-0.023174	105.944480	-80.624422	-61.074560
46988	9.610036	1.470920	-0.472017	0.001013	-0.000635	-0.022790	105.925997	-80.611820	-61.055224
46989	9.603411	1.511458	-0.455122	-0.004303	-0.000405	-0.024830	105.943015	-80.601103	-61.066232
46990	9.601117	1.487999	-0.502998	0.001349	0.003913	-0.023939	105.908609	-80.588516	-61.030538
46991	9.617240	1.465184	-0.440581	0.005200	-0.000301	-0.018993	105.927594	-80.583491	-61.041837
46992	9.639621	1.454350	-0.509001	0.003523	0.002710	-0.020927	105.901345	-80.572352	-61.013142
46993	9.592074	1.455942	-0.420046	0.008344	0.000672	-0.019964	105.923880	-80.562478	-61.021486
46994	9.629341	1.475399	-0.480603	0.010223	-0.000750	-0.024937	105.909194	-80.548501	-61.000596
46995	9.594743	1.481567	-0.431801	0.006172	0.001872	-0.022976	105.961972	-80.541759	-61.039128
46996	9.617091	1.470963	-0.500338	0.012509	-0.000435	-0.022307	105.950535	-80.529245	-61.020165
46997	9.630211	1.507756	-0.432947	0.008983	-0.001704	-0.022796	105.963231	-80.520772	-61.022545
46998	9.631292	1.505362	-0.492914	0.006973	-0.003244	-0.023579	105.956563	-80.507077	-61.011628
46999	9.619810	1.529098	-0.405330	0.007247	-0.004467	-0.021734	106.003452	-80.497027	-61.044698
