// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46937	9.739559	-0.591984	-0.146597	-0.019173	0.006204	0.024798	-103.958120	-86.423436	-14.920366
46938	9.725497	-0.568037	-0.128881	-0.020758	0.006220	0.028000	-102.836131	-86.579991	-16.543129
46939	9.687943	-0.614522	-0.195002	-0.030030	0.005046	0.026618	-103.373373	-86.494149	-15.765015
46940	9.677676	-0.642886	-0.162894	-0.026957	0.005433	0.023347	-103.289203	-86.481850	-15.864818
46941	9.712426	-0.659200	-0.181792	-0.026906	0.005224	0.021776	-103.204060	-86.469120	-15.965100
46942	9.745651	-0.669130	-0.177181	-0.026955	0.005433	0.023343	-103.121192	-86.456806	-16.063600
46943	9.743290	-0.625096	-0.214882	-0.023478	0.004364	0.020279	-103.054123	-86.445799	-16.144280
46944	9.730809	-0.607034	-0.220529	-0.018846	0.010762	0.022542	-102.921674	-86.434599	-16.287803
46945	9.750173	-0.590473	-0.198297	-0.019068	0.005780	0.021650	-102.843385	-86.422787	-16.377217
46946	9.702829	-0.558174	-0.184927	-0.023476	0.004365	0.020274	-102.776749	-86.412014	-16.457460
46947	9.757088	-0.555670	-0.182041	-0.030005	0.010653	0.021013	-102.669996	-86.401207	-16.581699
46948	9.714966	-0.582315	-0.177356	-0.037485	0.008851	0.022900	-102.567417	-86.389511	-16.706001
46949	9.716378	-0.590728	-0.200159	-0.041214	0.010754	0.021049	-102.474151	-86.378833	-16.823190
46950	9.727082	-0.606557	-0.169575	-0.039776	0.011363	0.022551	-102.352807	-86.367614	-16.967613
46951	9.719801	-0.647362	-0.184236	-0.038918	0.008241	0.021386	-102.288935	-86.356329	-17.054064
46952	9.742224	-0.643471	-0.208881	-0.032341	0.013370	0.022229	-102.147807	-86.345502	-17.214047
46953	9.739058	-0.632829	-0.161018	-0.030628	0.007126	0.019902	-102.102435	-86.334280	-17.277242
46954	9.726622	-0.614757	-0.166409	-0.032388	0.013576	0.023794	-101.958156	-86.322567	-17.440413
46955	9.694694	-0.615287	-0.193264	-0.031482	0.010248	0.021060	-101.890035	-86.310807	-17.526917
46956	9.758191	-0.620570	-0.136791	-0.030044	0.010855	0.022564	-101.771944	-86.299428	-17.662504
46957	9.759597	-0.629013	-0.159462	-0.034905	0.011111	0.022546	-101.703024	-86.286783	-17.751803
46958	9.717383	-0.655871	-0.154777	-0.035054	0.011727	0.027249	-101.573459	-86.272847	-17.901768
46959	9.736732	-0.639901	-0.132361	-0.034198	0.008606	0.026081	-101.525483	-86.257536	-17.969704
46960	9.750403	-0.668671	-0.149024	-0.031526	0.010454	0.022617	-101.414618	-86.246028	-18.098908
