// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46937	9.770718	-0.043907	0.467593	-0.003188	0.002599	0.007711	-5.319058	-87.249024	-168.357989
46938	9.768034	-0.072476	0.415211	-0.004020	0.002813	-0.001374	-9.912463	-87.529954	-163.568899
46939	9.771869	-0.051079	0.426331	-0.001248	0.001368	0.003162	-7.482733	-87.391554	-166.095698
46940	9.766840	-0.066118	0.457293	-0.002634	0.001758	0.002574	-7.513447	-87.390362	-166.066462
46941	9.786201	-0.062487	0.443164	0.001661	0.002892	0.001369	-7.550818	-87.388658	-166.026988
46942	9.791209	-0.047881	0.412668	-0.001804	0.003536	0.001578	-7.565659	-87.386531	-166.013166
46943	9.787351	-0.069632	0.402019	-0.004712	0.002012	0.003372	-7.606877	-87.385174	-165.974607
46944	9.795038	-0.026747	0.423961	0.000693	0.000137	-0.001386	-7.589017	-87.385201	-165.992089
46945	9.767964	-0.073738	0.416624	-0.001803	0.002872	0.004939	-7.645861	-87.383385	-165.936218
46946	9.767941	-0.074007	0.417122	-0.002222	0.007347	0.000385	-7.639674	-87.379184	-165.943685
46947	9.767917	-0.074180	0.417645	-0.002496	0.003400	0.002965	-7.674087	-87.377374	-165.910672
46948	9.753548	-0.063563	0.401697	-0.003607	0.007073	0.003157	-7.703430	-87.373115	-165.883367
46949	9.786056	-0.064120	0.446137	-0.000973	0.005315	0.000583	-7.706721	-87.370668	-165.880639
46950	9.782182	-0.085599	0.435839	-0.001529	0.007484	-0.001001	-7.682742	-87.366496	-165.905521
46951	9.767809	-0.074811	0.420072	-0.002222	0.006683	0.003746	-7.726781	-87.363039	-165.862726
46952	9.789806	-0.043037	0.459057	-0.002915	0.007211	0.001771	-7.738209	-87.358808	-165.852958
46953	9.767746	-0.075277	0.421451	-0.002915	0.007211	0.001771	-7.756926	-87.355268	-165.835909
46954	9.789744	-0.043469	0.460329	0.001105	0.004397	0.003146	-7.787571	-87.352528	-165.804597
46955	9.767697	-0.075867	0.422459	-0.000974	0.004651	0.003944	-7.835582	-87.350342	-165.757109
46956	9.767670	-0.076223	0.423030	-0.003608	0.007075	0.003157	-7.864386	-87.346080	-165.730344
46957	9.757149	-0.044104	0.418152	-0.000143	0.006429	0.002949	-7.902115	-87.343272	-165.692679
46958	9.753280	-0.065838	0.407790	-0.001667	0.005179	0.001969	-7.918354	-87.340178	-165.677377
46959	9.785760	-0.066506	0.452225	-0.002222	0.006684	0.003746	-7.964436	-87.337678	-165.632560
46960	9.752010	-0.059725	0.450736	-0.000144	0.006430	0.002949	-7.989472	-87.333795	-165.607580
46961	9.790757	-0.052456	0.422718	-0.004301	0.006939	0.004543	-8.046407	-87.330976	-165.553061
46962	9.767485	-0.078181	0.426934	0.000131	0.009713	0.003731	-8.074971	-87.325166	-165.524390
46963	9.771295	-0.057068	0.438566	-0.000975	0.004652	0.003944	-8.128463	-87.324142	-165.471406
46964	9.790658	-0.053675	0.424851	-0.000700	0.007935	0.004726	-8.172405	-87.319256	-165.427816
46965	9.786770	-0.075901	0.414817	-0.001120	0.010418	0.010254	-8.283022	-87.314696	-165.317862
46966	9.755615	-0.041560	0.466402	-0.005971	0.011456	0.009873	-8.385245	-87.307383	-165.218957
46967	9.790495	-0.056463	0.428227	-0.001956	0.017378	0.011230	-8.502376	-87.299181	-165.102756
46968	9.771006	-0.061629	0.444337	-0.007366	0.019258	0.015986	-8.663395	-87.286922	-164.945784
46969	9.747661	-0.088458	0.449499	-0.005424	0.017363	0.014799	-8.812288	-87.278493	-164.799932
46970	9.766988	-0.086086	0.436666	-0.000851	0.013041	0.014400	-8.959749	-87.269858	-164.652798
46971	9.742411	-0.105852	0.482732	-0.000013	0.006745	0.010063	-9.078766	-87.267363	-164.533569
46972	9.770769	-0.066714	0.448811	0.000683	-0.001857	0.008696	-9.185022	-87.267633	-164.426802
46973	9.786320	-0.085234	0.423529	0.003038	0.001172	0.008683	-9.325851	-87.268771	-164.283466
