// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46937	9.416278	0.278076	2.534120	-0.007756	0.000785	-0.000035	6.264436	-74.851320	-7.658892
46938	9.449443	0.231930	2.553305	-0.005945	-0.002195	0.001338	5.193140	-74.819327	-7.406713
46939	9.425795	0.230011	2.528011	-0.005797	-0.003711	0.001247	5.724368	-74.838334	-7.530458
46940	9.416685	0.280265	2.509311	-0.008988	-0.002487	0.001288	5.717033	-74.839825	-7.528193
46941	9.444962	0.254724	2.555454	-0.007474	-0.002436	0.002843	5.703922	-74.841820	-7.520438
46942	9.450210	0.236501	2.503811	-0.007326	-0.003952	0.002752	5.694764	-74.844230	-7.515298
46943	9.425579	0.222597	2.575714	-0.006523	0.004058	-0.001356	5.692959	-74.841893	-7.517306
46944	9.420880	0.246005	2.578624	-0.011898	-0.004485	0.004206	5.678229	-74.844688	-7.509108
46945	9.420962	0.245748	2.578350	-0.004402	-0.001765	-0.003227	5.682387	-74.845398	-7.516062
46946	9.426172	0.227896	2.526795	-0.010510	-0.002633	0.001262	5.674259	-74.846971	-7.513880
46947	9.449999	0.229406	2.551476	-0.007149	-0.005089	-0.003461	5.677598	-74.849492	-7.521648
46948	9.421641	0.251651	2.529053	-0.004410	-0.001859	-0.001697	5.679035	-74.850456	-7.525754
46949	9.421690	0.251645	2.528874	-0.008974	-0.002298	-0.001773	5.676813	-74.851514	-7.528871
46950	9.450127	0.229415	2.550999	-0.009419	0.002250	-0.001497	5.674098	-74.850146	-7.531649
46951	9.421155	0.245563	2.577662	-0.009553	0.003956	-0.004465	5.675462	-74.847523	-7.538855
46952	9.397694	0.246991	2.528227	-0.006867	-0.008311	-0.000586	5.674500	-74.852228	-7.541935
46953	9.450425	0.232414	2.526491	-0.009123	-0.000782	-0.001681	5.670946	-74.852271	-7.543812
46954	9.425999	0.221788	2.574245	-0.007883	0.002587	-0.004532	5.675432	-74.850540	-7.553139
46955	9.421478	0.248667	2.553056	-0.009123	-0.000782	-0.001681	5.670602	-74.850525	-7.553783
46956	9.421465	0.248767	2.553096	-0.006214	0.001217	-0.004599	5.676471	-74.849571	-7.563552
46957	9.450111	0.229906	2.551015	-0.007587	-0.000445	-0.004716	5.678671	-74.849000	-7.570583
46958	9.421690	0.252215	2.528816	-0.010489	-0.002349	-0.003329	5.680163	-74.850150	-7.578354
46959	9.397541	0.244639	2.552135	-0.004551	-0.000248	-0.003136	5.680211	-74.849654	-7.581382
46960	9.421475	0.249535	2.552985	-0.010772	0.000874	-0.006204	5.686921	-74.848805	-7.594727
46961	9.445403	0.254524	2.553845	-0.003022	-0.000006	-0.004641	5.690640	-74.847790	-7.600688
46962	9.426379	0.229573	2.525873	-0.009095	-0.000400	-0.007802	5.701938	-74.847574	-7.617792
46963	9.421635	0.253717	2.528869	-0.007736	0.001071	-0.004624	5.702089	-74.846118	-7.622914
46964	9.421573	0.254077	2.529066	-0.009392	0.002632	-0.007617	5.712184	-74.844185	-7.638948
46965	9.440517	0.279872	2.557237	-0.009250	0.001020	-0.006179	5.715420	-74.842790	-7.648031
46966	9.421029	0.248718	2.577819	-0.010772	0.000873	-0.006205	5.722125	-74.841938	-7.661371
46967	9.445346	0.259729	2.530436	-0.009555	0.003956	-0.004464	5.721503	-74.838422	-7.666653
46968	9.397092	0.247519	2.553511	-0.009703	0.005472	-0.004371	5.723983	-74.835047	-7.674982
46969	9.449610	0.233255	2.552566	-0.009406	0.002440	-0.004557	5.724323	-74.832559	-7.681089
46970	9.416163	0.276347	2.557792	-0.007587	-0.000445	-0.004718	5.729997	-74.832537	-7.691469
46971	9.449577	0.233656	2.552652	-0.007594	-0.000541	-0.003188	5.729041	-74.831615	-7.695221
46972	9.421046	0.255958	2.530838	-0.009704	0.005472	-0.004370	5.731523	-74.828238	-7.703549
46973	9.425433	0.229169	2.552540	-0.014127	0.003419	-0.003010	5.724433	-74.825363	-7.705104
46974	9.444602	0.257691	2.556488	-0.007587	-0.000445	-0.004718	5.730086	-74.825342	-7.715469
46975	9.420655	0.253201	2.555647	-0.007594	-0.000541	-0.003188	5.727558	-74.824719	-7.717840
46976	9.420839	0.256567	2.531549	-0.009392	0.002633	-0.007617	5.737610	-74.822782	-7.733838
46977	9.444234	0.255190	2.581178	-0.015805	0.004690	-0.001412	5.725631	-74.819062	-7.731345
46978	9.425094	0.229700	2.553743	-0.009861	0.006891	-0.002746	5.724260	-74.814974	-7.735794
46979	9.420231	0.253489	2.557182	-0.009413	0.002343	-0.003027	5.718768	-74.812637	-7.736442
