// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
48746	NaN	9.693651	0.894225	0.752568	-0.081049	0.042152	-0.055319	51.903565	-82.427419	-71.211785
48747	NaN	9.704005	0.881253	0.729924	-0.070534	0.044512	-0.052078	51.871212	-82.389830	-71.218864
48748	NaN	9.680611	0.924734	0.765822	-0.060827	0.045838	-0.052448	51.844020	-82.351608	-71.225318
48749	NaN	9.656697	0.975777	0.753289	-0.048765	0.042216	-0.053309	51.835223	-82.314278	-71.243579
48750	NaN	9.654572	1.034449	0.765840	-0.044570	0.034261	-0.052310	51.855527	-82.280219	-71.288565
48751	NaN	9.631296	1.074019	0.824728	-0.045868	0.034763	-0.048618	51.860641	-82.247640	-71.319194
48752	NaN	9.660140	1.187588	0.771143	-0.041935	0.032427	-0.048977	51.879374	-82.215728	-71.361076
48753	NaN	9.659500	1.188045	0.799203	-0.051113	0.037732	-0.046308	51.865437	-82.183138	-71.375515
48754	NaN	9.658470	1.195882	0.779197	-0.056889	0.034054	-0.046274	51.863019	-82.151866	-71.404699
48755	NaN	9.668777	1.186089	0.731833	-0.069483	0.039598	-0.043405	51.825030	-82.119924	-71.405484
48756	NaN	9.680006	1.157020	0.805405	-0.070799	0.040372	-0.043253	51.786430	-82.087775	-71.406187
48757	NaN	9.645664	1.181860	0.739433	-0.071050	0.036696	-0.039931	51.748376	-82.058426	-71.407813
48758	NaN	9.646752	1.123615	0.783679	-0.074738	0.042556	-0.041047	51.695238	-82.026491	-71.396114
48759	NaN	9.647389	1.076836	0.755834	-0.072631	0.042804	-0.037542	51.631037	-81.996046	-71.372252
48760	NaN	9.656712	1.108798	0.790468	-0.071344	0.051181	-0.040491	51.551576	-81.961287	-71.332003
48761	NaN	9.665936	1.140867	0.825494	-0.072133	0.049869	-0.040526	51.473558	-81.926975	-71.293893
48762	NaN	9.663624	1.190290	0.888325	-0.077402	0.053252	-0.043526	51.392751	-81.890100	-71.255783
48763	NaN	9.629254	1.215119	0.824030	-0.082650	0.055914	-0.037664	51.283664	-81.854889	-71.192369
48764	NaN	9.682958	1.215895	0.854857	-0.090549	0.060844	-0.040394	51.165138	-81.816666	-71.123754
48765	NaN	9.639069	1.191992	0.882408	-0.094496	0.063016	-0.038193	51.030223	-81.778627	-71.041092
48766	NaN	9.671151	1.185084	0.887852	-0.100799	0.061403	-0.037960	50.899878	-81.741237	-70.966453
48767	NaN	9.627214	1.164829	0.891341	-0.099236	0.063871	-0.036008	50.756186	-81.703804	-70.877649
48768	NaN	9.649510	1.128944	0.866944	-0.097108	0.055094	-0.031456	50.632803	-81.671534	-70.807892
48769	NaN	9.594086	1.133345	0.849117	-0.094230	0.056789	-0.029639	50.499426	-81.639438	-70.726600
48770	NaN	9.616631	1.093038	0.847692	-0.084206	0.043528	-0.027670	50.410195	-81.613017	-70.683883
48771	NaN	9.615998	1.082618	0.924851	-0.080262	0.041211	-0.028039	50.328701	-81.587280	-70.646934
48772	NaN	9.648463	1.074844	0.927692	-0.071051	0.035507	-0.025409	50.266028	-81.564775	-70.623440
48773	NaN	9.624569	1.114559	0.962923	-0.061838	0.029653	-0.021018	50.212638	-81.546354	-70.604228
48774	NaN	9.624018	1.111901	0.990600	-0.058959	0.031653	-0.022759	50.162140	-81.526421	-70.586035
48775	NaN	9.604018	1.056494	0.934488	-0.047646	0.026339	-0.018440	50.120604	-81.510345	-70.570584
48776	NaN	9.550893	0.993982	0.975765	-0.029784	0.026649	-0.021099	50.097692	-81.492976	-70.563383
48777	NaN	9.616766	0.980673	0.950629	-0.005835	0.015714	-0.017926	50.110180	-81.481030	-70.578334
48778	NaN	9.616490	0.990812	0.904146	0.015689	0.018883	-0.016964	50.125927	-81.468335	-70.583884
48779	NaN	9.647369	1.036764	0.912908	0.037542	0.007565	-0.015495	50.181097	-81.460447	-70.616864
48780	NaN	9.678387	1.095271	0.848974	0.043301	0.011114	-0.013692	50.227278	-81.452044	-70.637194
48781	NaN	9.662411	1.221493	0.896037	0.046181	0.013118	-0.015437	50.270838	-81.442139	-70.653429
48782	NaN	9.628961	1.233039	0.898386	0.042766	0.013499	-0.017006	50.317661	-81.431398	-70.674718
48783	NaN	9.595465	1.235926	0.948848	0.035146	0.012038	-0.009622	50.343819	-81.424450	-70.679751
48784	NaN	9.609056	1.175083	0.864440	0.030174	0.010250	-0.016646	50.391929	-81.415048	-70.709636
