// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
48746	NaN	9.798221	0.446332	0.072740	0.000113	0.006083	0.003549	80.836050	-87.031918	158.362592
48747	NaN	9.805175	0.461527	0.034852	-0.001322	0.011320	0.001712	80.724304	-87.031917	158.473858
48748	NaN	9.760069	0.445123	0.113480	0.000112	0.006083	0.003549	80.662457	-87.033163	158.535911
48749	NaN	9.787979	0.465169	0.019568	-0.001786	0.006600	0.004392	80.596918	-87.035114	158.600935
48750	NaN	9.795031	0.438765	0.042107	0.001270	0.010653	0.005428	80.482292	-87.036983	158.716502
48751	NaN	9.798275	0.444465	0.076786	0.000962	0.007077	0.004379	80.413171	-87.038864	158.786425
48752	NaN	9.777271	0.480423	0.072954	0.000418	0.009658	0.004600	80.310207	-87.040342	158.889824
48753	NaN	9.777868	0.441659	0.027879	0.001812	0.008071	0.005208	80.228430	-87.042575	158.972900
48754	NaN	9.784319	0.453651	0.096361	-0.002679	0.009256	0.002335	80.132175	-87.042797	159.067806
48755	NaN	9.795100	0.436829	0.046134	0.000307	0.003576	0.001050	80.106590	-87.043119	159.093790
48756	NaN	9.781105	0.447232	0.063623	0.001661	0.005639	0.000430	80.055965	-87.042614	159.145494
48757	NaN	9.767109	0.457584	0.081285	0.000613	0.007151	0.002101	79.989755	-87.043192	159.212622
48758	NaN	9.805304	0.458110	0.042805	0.000307	0.003576	0.001051	79.959708	-87.043238	159.242943
48759	NaN	9.822511	0.453774	0.060128	0.003015	0.007703	-0.000191	79.892968	-87.042445	159.311733
48760	NaN	9.804698	0.496313	0.090809	0.002498	0.023666	0.001127	79.644854	-87.040484	159.561670
48761	NaN	9.688089	0.411390	0.083357	0.004449	0.002465	0.001646	79.632754	-87.041249	159.576423
48762	NaN	9.836512	0.442945	0.046205	-0.001593	0.004093	0.001893	79.594303	-87.041706	159.614070
48763	NaN	9.777302	0.478476	0.081076	0.000611	0.007151	0.002102	79.527624	-87.042228	159.681095
48764	NaN	9.784307	0.452348	0.103476	0.000611	0.007151	0.002103	79.456642	-87.042480	159.752581
48765	NaN	9.739711	0.439114	0.075390	0.001155	0.004570	0.001881	79.419015	-87.043166	159.791330
48766	NaN	9.781123	0.445796	0.070525	-0.001049	0.001512	0.001671	79.409419	-87.043763	159.800396
48767	NaN	9.760121	0.482146	0.066007	-0.001395	0.001587	-0.000608	79.407817	-87.043351	159.801364
48768	NaN	9.781124	0.445756	0.070571	0.004688	-0.003692	0.000374	79.460902	-87.043765	159.750956
48769	NaN	9.805338	0.456806	0.048508	-0.001049	0.001512	0.001671	79.456203	-87.044655	159.755287
48770	NaN	9.805345	0.456641	0.048661	-0.001049	0.001512	0.001671	79.446610	-87.045253	159.764350
48771	NaN	9.798335	0.441082	0.087856	-0.001634	0.007743	0.000665	79.374820	-87.044920	159.835856
48772	NaN	9.753732	0.428114	0.059727	0.001858	0.003132	-0.002069	79.356871	-87.043240	159.854953
48773	NaN	9.753102	0.466618	0.105811	-0.000346	0.000075	-0.002279	79.375903	-87.042056	159.836023
48774	NaN	9.770938	0.465420	0.015956	-0.001314	-0.005713	0.001848	79.444572	-87.043513	159.766567
48775	NaN	9.791333	0.467145	0.066219	-0.003253	-0.001545	0.001462	79.472080	-87.044610	159.737508
48776	NaN	9.781138	0.445449	0.070622	0.005778	-0.008854	-0.000069	79.583066	-87.045307	159.629747
48777	NaN	9.791343	0.467095	0.065147	0.003293	-0.002105	-0.000234	79.623737	-87.045484	159.590888
48778	NaN	9.774136	0.429955	0.108768	-0.001049	0.001512	0.001671	79.614175	-87.046083	159.599919
48779	NaN	9.781156	0.445196	0.069751	0.000081	-0.007300	0.002456	79.704354	-87.048326	159.510103
48780	NaN	9.749969	0.459693	0.069347	0.003679	-0.005830	0.003274	79.774650	-87.050579	159.441882
48781	NaN	9.798384	0.440549	0.085051	0.004076	-0.010843	-0.001728	79.914332	-87.050800	159.304600
48782	NaN	9.788184	0.460372	0.028525	0.003027	-0.009331	-0.000056	80.029267	-87.051509	159.191307
48783	NaN	9.805396	0.455951	0.044630	0.002284	-0.004243	0.002666	80.087424	-87.053531	159.134596
48784	NaN	9.788196	0.460167	0.027478	0.002442	-0.003099	-0.001063	80.135736	-87.053045	159.087680
48785	NaN	9.781197	0.444866	0.065987	0.001048	-0.001513	-0.001671	80.171427	-87.052347	159.052782
