// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
33839	9.653313	1.671132	-0.441352	-0.046502	0.238873	-0.016380	122.033814	-83.039563	68.870659
33840	9.607804	1.362254	-0.524968	-0.111723	0.246573	-0.009119	120.979359	-83.107505	69.869193
33841	9.642279	1.163421	-0.457709	-0.118368	0.250793	-0.005980	119.891013	-83.176069	70.895344
33842	9.733229	0.999083	-0.583510	-0.142337	0.251150	-0.005029	118.768492	-83.242716	71.944475
33843	9.851702	0.496965	-0.750796	-0.145173	0.237299	0.011447	117.720661	-83.311543	72.914062
33844	9.800199	0.722696	-0.631903	-0.068079	0.274999	-0.017401	116.466325	-83.373212	74.138451
33845	9.675111	0.821854	-0.606480	-0.029702	0.272340	-0.003292	115.253520	-83.438471	75.340943
33846	9.693897	0.917314	-0.594068	-0.045309	0.276381	-0.000741	113.994503	-83.502975	76.582858
33847	9.662971	1.036365	-0.487202	-0.066723	0.265795	-0.008225	112.733744	-83.558115	77.812508
33848	9.694470	0.938062	-0.419950	-0.108598	0.267883	-0.013271	111.408536	-83.607782	79.084264
33849	9.693564	0.856748	-0.449638	-0.108701	0.265290	-0.017629	110.068437	-83.651390	80.369038
33850	9.719796	0.847283	-0.470174	-0.105103	0.262642	-0.014040	108.732008	-83.692966	81.653878
33851	9.693153	0.848163	-0.483455	-0.100748	0.272437	-0.010093	107.338789	-83.735147	82.996032
33852	9.668738	0.973736	-0.322416	-0.081767	0.272403	-0.011386	105.937072	-83.772908	84.359798
33853	9.604261	1.221866	-0.225384	-0.100211	0.270330	0.001264	104.536071	-83.813791	85.708582
33854	9.610854	1.216194	-0.231460	-0.121569	0.272568	0.000967	103.093419	-83.851094	87.090380
33855	9.650998	1.205269	-0.230297	-0.146330	0.269688	0.005306	101.639690	-83.886818	88.465853
33856	9.690261	0.957302	-0.313211	-0.174094	0.270514	0.009244	100.153960	-83.920950	89.860524
33857	9.642163	0.837336	-0.309633	-0.171152	0.278059	0.011518	98.616445	-83.953200	91.308060
33858	9.659874	1.055489	-0.118413	-0.141643	0.289236	0.007916	97.017919	-83.980030	92.834690
33859	9.667100	1.131044	-0.064834	-0.136894	0.289180	0.024686	95.418413	-84.012011	94.364699
33860	9.711684	1.059324	-0.122278	-0.138168	0.286921	0.025206	93.815056	-84.039609	95.898021
33861	9.654566	1.021652	-0.258883	-0.140635	0.291671	0.028093	92.171445	-84.064555	97.470213
33862	9.710976	0.989709	-0.176890	-0.142967	0.309180	0.040692	90.417883	-84.092018	99.151635
33863	9.712098	1.057604	-0.173944	-0.119462	0.327770	0.036614	88.560775	-84.111653	100.950561
33864	9.819256	1.114188	-0.092084	-0.104640	0.342367	0.054492	86.614718	-84.134944	102.847433
33865	9.734597	1.268145	-0.117633	-0.084227	0.364644	0.050183	84.545612	-84.148054	104.879694
33866	9.771500	1.228178	-0.103343	-0.077882	0.370944	0.064053	82.428331	-84.160982	106.963991
33867	9.692369	1.404712	-0.129577	-0.071264	0.392773	0.070610	80.181625	-84.167717	109.182146
33868	9.688590	1.391798	-0.143691	-0.102608	0.406793	0.091630	77.813400	-84.175579	111.504385
33869	9.667308	1.263332	-0.088207	-0.130122	0.429130	0.104510	75.287557	-84.177632	113.969190
33870	9.633129	1.268701	0.034516	-0.142426	0.442782	0.111085	72.673366	-84.169863	116.515730
33871	9.676631	1.108557	0.166328	-0.169093	0.448932	0.115090	70.016247	-84.151321	119.090114
