idx,YOLO_pred,LSTM_pred
10,6,1
15,4,1
20,4,1
25,6,1
30,4,1
35,4,1
40,4,1
45,4,1
50,4,1
55,4,1
60,4,1
65,4,1
70,4,1
75,4,1
80,6,1
85,6,2
90,6,2
95,6,2
100,6,2
105,6,2
110,6,2
115,3,2
120,0,2
125,0,0
130,2,0
135,0,0
140,2,0
145,0,0
150,0,0
155,0,0
160,0,0
165,6,0
170,0,0
175,0,0
180,0,0
185,0,0
190,0,0
195,0,0
200,0,0
205,0,0
210,0,0
215,0,0
220,0,0
225,0,0
230,0,0
235,0,0
240,0,0
245,0,0
250,0,0
255,0,0
260,0,0
265,3,0
270,2,1
275,0,1
280,0,0
285,0,0
290,0,0
295,0,0
300,0,0
305,0,0
310,0,0
315,0,0
320,0,0
325,0,0
330,0,0
335,0,0
340,0,0
345,0,0
350,0,0
355,0,0
360,0,0
365,0,0
370,0,0
375,0,0
380,0,0
385,0,0
390,0,0
395,0,0
400,0,0
405,0,0
410,0,0
415,0,0
420,0,0
425,0,0
430,0,0
435,0,0
440,0,0
445,0,0
450,0,0
455,0,0
460,0,0
465,0,0
470,0,0
475,0,0
480,0,0
485,0,0
490,0,0
495,0,0
500,4,0
505,6,0
510,4,1
515,4,1
520,4,1
525,4,1
530,4,1
535,4,1
540,4,1
545,6,1
550,6,2
555,6,2
560,6,2
565,6,2
570,4,2
575,4,1
580,4,1
585,4,1
590,4,1
595,0,1
600,0,0
605,0,0
610,0,0
615,0,0
620,0,0
625,0,0
630,0,0
635,2,0
640,2,0
645,2,0
650,6,0
655,2,2
660,6,0
665,6,2
670,6,2
675,6,2
680,6,2
685,6,2
690,6,2
695,6,2
700,6,2
705,6,2
710,6,2
715,6,2
720,6,2
725,6,2
730,6,2
735,6,2
740,6,2
745,6,2
750,6,2
755,6,2
760,6,2
765,6,2
770,6,2
775,6,2
780,6,2
785,6,2
790,6,2
795,6,2
800,6,2
805,6,2
810,6,2
815,6,2
820,6,2
825,6,2
830,6,2
835,6,2
840,6,2
845,6,2
850,6,2
855,6,2
860,6,2
865,6,2
870,6,2
875,6,2
880,6,2
885,6,2
890,6,2
895,6,2
900,6,2
905,6,2
910,6,2
915,6,2
920,6,2
925,6,2
930,6,2
935,6,2
940,6,2
945,6,2
950,6,2
955,6,2
960,6,2
965,6,2
970,6,2
975,6,2
980,6,2
985,6,2
990,6,2
995,6,2
1000,6,2
1005,6,2
1010,6,2
1015,6,2
1020,6,2
1025,6,2
1030,6,2
1035,6,2
1040,6,2
1045,6,2
1050,6,2
1055,6,2
1060,6,2
1065,6,2
1070,6,2
1075,6,2
1080,6,2
1085,6,2
1090,6,2
1095,6,2
1100,6,2
1105,6,2
1110,6,2
1115,6,2
1120,6,2
1125,6,2
1130,6,2
1135,6,2
1140,6,2
1145,6,2
1150,6,2
1155,6,2
1160,6,2
1165,6,2
1170,6,2
1175,6,2
1180,6,2
1185,6,2
1190,6,2
1195,6,2
1200,6,2
1205,6,2
1210,6,2
1215,6,2
1220,6,2
1225,6,2
1230,6,2
1235,6,2
1240,6,2
1245,6,2
1250,6,2
1255,6,2
1260,6,2
1265,6,2
1270,6,2
1275,6,2
1280,6,2
1285,6,2
1290,6,2
1295,6,2
1300,6,2
1305,6,2
1310,6,2
1315,6,2
1320,6,2
1325,6,2
1330,4,2
1335,4,1
1340,4,2
1345,6,1
1350,4,1
1355,4,1
1360,6,1
1365,6,2
1370,6,2
1375,6,2
1380,6,2
1385,6,2
1390,6,2
1395,6,2
1400,6,2
1405,3,2
1410,3,1
1415,3,1
1420,3,1
1425,3,1
1430,3,1
1435,3,1
1440,6,1
1445,3,1
1450,3,1
1455,3,1
1460,3,1
1465,3,1
1470,3,1
1475,3,1
1480,3,1
1485,3,1
1490,3,1
1495,3,1
1500,3,1
1505,3,1
1510,3,1
1515,3,1
1520,4,1
1525,4,1
1530,4,1
1535,3,1
1540,4,1
1545,4,1
1550,4,1
1555,4,1
1560,4,1
1565,4,1
1570,6,1
1575,6,2
1580,6,2
1585,6,2
1590,6,2
1595,6,2
1600,6,2
1605,6,2
1610,6,2
1615,6,2
1620,6,2
1625,6,2
1630,6,2
1635,6,2
1640,6,2
1645,6,2
1650,6,2
1655,6,2
1660,6,2
1665,6,2
1670,6,2
1675,6,2
1680,6,2
1685,6,2
1690,6,2
1695,6,2
1700,6,2
1705,6,2
1710,6,2
1715,6,2
1720,6,2
1725,6,2
1730,6,2
1735,6,2
1740,6,2
1745,0,2
1750,0,0
1755,0,0
1760,0,0
1765,0,0
1770,0,0
1775,0,0
1780,0,0
1785,0,0
1790,0,0
1795,0,0
1800,0,0
1805,0,0
1810,0,0
1815,0,0
1820,0,0
1825,0,0
1830,0,0
1835,0,0
1840,0,0
1845,0,0
1850,0,0
1855,0,0
1860,0,0
1865,0,0
1870,0,0
1875,0,0
1880,0,0
1885,0,0
1890,0,0
1895,1,0
1900,1,0
1905,1,0
1910,1,0
1915,1,0
1920,1,0
1925,1,0
1930,1,0
1935,6,1
1940,6,2
1945,6,2
1950,6,2
1955,6,2
1960,6,2
1965,6,2
1970,6,2
1975,6,2
1980,6,2
1985,6,2
1990,6,2
1995,6,2
2000,6,2
2005,6,2
2010,6,2
2015,6,2
2020,6,2
2025,6,2
2030,6,2
2035,6,2
2040,6,2
2045,6,2
2050,6,2
2055,6,2
2060,6,2
2065,6,2
2070,6,2
2075,6,2
2080,6,2
2085,6,2
2090,6,1
2095,6,2
2100,6,2
2105,6,2
2110,6,2
2115,6,2
2120,6,2
2125,6,2
2130,6,1
2135,6,2
2140,6,2
2145,6,2
2150,6,2
2155,6,2
2160,6,2
2165,6,2
2170,4,2
2175,4,1
2180,6,1
2185,6,1
2190,6,2
2195,6,2
2200,6,2
2205,6,2
2210,6,2
2215,6,2
2220,6,2
2225,6,2
2230,6,2
2235,6,2
2240,4,2
2245,6,2
2250,6,2
2255,4,2
2260,6,2
2265,4,2
2270,4,1
2275,4,1
2280,6,1
2285,4,1
2290,6,1
2295,6,2
2300,4,2
2305,6,1
2310,6,2
2315,6,2
2320,4,2
2325,4,1
2330,6,1
2335,4,2
2340,6,1
2345,6,2
2350,6,2
2355,6,2
2360,6,2
2365,6,2
2370,6,2
2375,6,2
2380,6,2
2385,4,2
2390,6,1
2395,4,1
2400,6,2
2405,6,2
2410,6,2
2415,6,2
2420,4,2
2425,6,1
2430,6,2
2435,4,2
2440,6,1
2445,4,2
2450,4,1
2455,6,1
2460,6,2
2465,6,2
2470,6,2
2475,6,2
2480,6,2
2485,6,2
2490,4,2
2495,6,2
2500,6,1
2505,6,2
2510,6,2
2515,6,2
2520,6,2
2525,6,2
2530,6,2
2535,6,2
2540,6,2
2545,6,2
2550,6,2
2555,6,2
2560,6,2
2565,6,2
2570,6,2
2575,6,2
2580,6,2
2585,6,2
2590,6,2
2595,6,2
2600,6,2
2605,6,2
2610,6,2
2615,6,2
2620,6,2
2625,6,2
2630,6,2
2635,6,2
2640,6,2
2645,6,2
2650,6,2
2655,6,2
2660,6,2
2665,6,2
2670,6,2
2675,6,2
2680,6,2
2685,6,2
2690,6,2
2695,6,2
2700,6,2
2705,6,2
2710,6,2
2715,6,2
2720,6,2
2725,6,2
2730,6,2
2735,6,2
2740,6,2
2745,3,2
2750,3,1
2755,3,1
2760,3,1
2765,3,1
2770,3,1
2775,3,1
2780,3,1
2785,3,1
2790,3,1
2795,3,1
2800,3,1
2805,3,1
2810,3,1
2815,3,1
2820,3,1
2825,3,1
2830,3,1
2835,3,1
2840,3,1
2845,3,1
2850,4,1
2855,4,1
2860,4,1
2865,4,1
2870,4,1
2875,4,1
2880,1,1
2885,1,1
2890,4,1
2895,6,1
2900,6,2
2905,6,2
2910,6,2
2915,6,2
2920,6,2
2925,6,2
2930,6,2
2935,6,2
2940,6,2
2945,6,2
2950,6,2
2955,6,2
2960,6,2
2965,6,2
2970,6,2
2975,6,2
2980,6,2
2985,6,2
2990,6,2
2995,6,2
3000,6,2
3005,6,2
3010,6,2
3015,6,2
3020,6,2
3025,6,2
3030,6,2
3035,6,2
3040,6,2
3045,6,2
3050,6,2
3055,6,2
3060,6,2
3065,6,2
