idx,YOLO_pred,LSTM_pred
10,6,2
15,6,2
20,6,2
25,6,2
30,6,2
35,6,2
40,6,2
45,6,2
50,6,2
55,6,2
60,6,2
65,6,2
70,6,2
75,6,2
80,6,2
85,6,2
90,6,2
95,6,2
100,6,2
105,6,2
110,6,2
115,6,2
120,6,2
125,6,2
130,6,2
135,6,2
140,6,2
145,6,2
150,6,2
155,6,2
160,6,2
165,6,2
170,6,2
175,6,2
180,6,2
185,6,2
190,6,2
195,6,2
200,6,2
205,6,2
210,6,2
215,6,2
220,6,2
225,6,2
230,6,2
235,6,2
240,6,2
245,6,2
250,6,2
255,6,2
260,6,2
265,6,2
270,6,2
275,6,2
280,6,2
285,6,2
290,6,2
295,6,2
300,6,2
305,6,2
310,6,2
315,6,2
320,6,2
325,6,2
330,6,2
335,6,2
340,6,2
345,6,2
350,6,2
355,6,2
360,6,2
365,6,2
370,6,2
375,6,2
380,4,2
385,4,1
390,6,1
395,6,1
400,3,2
405,4,1
410,4,1
415,4,1
420,4,1
425,4,1
430,4,1
435,4,1
440,3,1
445,5,1
450,4,2
455,4,1
460,6,1
465,6,2
470,6,2
475,6,2
480,6,2
485,6,2
490,6,2
495,6,2
500,6,2
505,6,2
510,6,2
515,6,2
520,6,2
525,6,2
530,6,2
535,6,2
540,6,2
545,6,2
550,6,2
555,6,2
560,6,2
565,6,2
570,6,2
575,6,2
580,6,2
585,6,2
590,6,2
595,6,2
600,6,2
605,6,2
610,6,2
615,6,2
620,6,2
625,6,2
630,6,2
635,6,2
640,6,2
645,6,2
650,6,2
655,6,2
660,6,2
665,6,2
670,6,2
675,6,2
680,6,2
685,6,2
690,6,2
695,6,2
700,6,2
705,6,2
710,6,2
715,6,2
720,6,2
725,6,2
730,6,2
735,6,2
740,6,2
745,6,2
750,6,2
755,6,2
760,6,2
765,6,2
770,6,2
775,6,2
780,6,2
785,6,2
790,6,2
795,6,2
800,6,2
805,6,2
810,6,2
815,6,2
820,6,2
825,6,2
830,6,2
835,6,2
840,4,2
845,6,2
850,6,1
855,6,2
860,6,2
865,6,2
870,6,2
875,6,2
880,6,2
885,6,2
890,6,2
895,6,2
900,6,2
905,6,2
910,6,2
915,6,2
920,6,2
925,6,2
930,6,2
935,6,2
940,6,2
945,6,2
950,6,2
955,6,2
960,6,2
965,6,2
970,6,2
975,6,2
980,6,2
985,6,2
990,6,2
995,6,2
1000,6,2
1005,6,2
1010,6,2
1015,6,2
1020,6,2
1025,6,2
1030,6,2
1035,6,2
1040,6,2
1045,6,2
1050,6,2
1055,6,2
1060,6,2
1065,6,2
1070,6,2
1075,6,2
1080,6,2
1085,6,2
1090,6,2
1095,6,2
1100,6,2
1105,6,2
1110,6,2
1115,6,2
1120,6,2
1125,6,2
1130,6,2
1135,6,2
1140,6,2
1145,3,2
1150,6,2
1155,6,2
1160,3,2
1165,3,2
1170,4,1
1175,4,1
1180,6,1
1185,6,2
1190,6,2
1195,3,2
1200,3,1
1205,3,1
1210,3,1
1215,3,1
1220,3,1
1225,6,1
1230,4,1
1235,3,1
1240,3,1
1245,3,1
1250,3,1
1255,3,1
1260,3,1
1265,3,1
1270,4,1
1275,3,1
1280,3,1
1285,4,1
1290,4,1
1295,4,1
1300,4,1
1305,4,1
1310,4,1
1315,4,1
1320,4,1
1325,4,1
1330,4,1
1335,4,1
1340,6,1
1345,6,2
1350,6,2
1355,6,2
1360,6,2
1365,6,2
1370,6,2
1375,6,2
1380,6,2
1385,6,2
1390,6,2
1395,6,2
1400,6,2
1405,6,2
1410,6,2
1415,6,2
1420,6,2
1425,6,2
1430,6,2
1435,6,2
1440,6,2
1445,6,2
1450,6,2
1455,6,2
1460,6,2
1465,6,2
1470,6,2
1475,6,2
1480,6,2
1485,6,2
1490,0,2
1495,0,0
1500,0,0
1505,0,0
1510,0,0
1515,2,0
1520,0,0
1525,2,0
1530,0,0
1535,0,0
1540,0,0
1545,0,0
1550,0,0
1555,0,0
1560,0,0
1565,0,0
1570,0,0
1575,0,0
1580,0,0
1585,0,0
1590,0,0
1595,0,0
1600,0,0
1605,0,0
1610,0,0
1615,0,0
1620,0,0
1625,0,0
1630,0,0
1635,0,0
1640,0,0
1645,0,0
1650,0,0
1655,0,0
1660,1,0
1665,1,0
1670,1,0
1675,1,0
1680,1,0
1685,1,0
1690,1,0
1695,6,0
1700,6,0
1705,6,2
1710,6,2
1715,6,2
1720,6,2
1725,6,2
1730,6,2
1735,6,2
1740,6,2
1745,6,2
1750,6,2
1755,6,2
1760,6,2
1765,6,2
1770,6,2
1775,6,2
1780,6,2
1785,6,2
1790,6,2
1795,6,2
1800,6,2
1805,6,2
1810,6,2
1815,6,2
1820,6,2
1825,6,2
1830,6,2
1835,6,2
1840,6,2
1845,6,2
1850,6,2
1855,6,2
1860,6,2
1865,6,2
1870,6,2
1875,6,2
1880,6,2
1885,6,2
1890,6,2
1895,6,2
1900,6,2
1905,6,2
1910,6,2
1915,6,2
1920,6,2
1925,6,2
1930,6,2
1935,6,2
1940,6,2
1945,6,2
1950,6,2
1955,6,2
1960,6,2
1965,6,2
1970,6,2
1975,6,2
1980,6,2
1985,6,2
1990,6,2
1995,6,2
2000,6,2
2005,6,2
2010,6,2
2015,6,2
2020,6,2
2025,6,2
2030,6,2
2035,6,2
2040,6,2
2045,6,2
2050,6,2
2055,6,2
2060,6,2
2065,6,2
2070,6,2
2075,6,2
2080,6,2
2085,6,2
2090,6,2
2095,6,2
2100,6,2
2105,6,2
2110,6,2
2115,6,2
2120,6,2
2125,6,2
2130,6,2
2135,4,2
2140,6,1
2145,4,1
2150,4,1
2155,4,1
2160,6,1
2165,4,1
2170,6,2
2175,4,2
2180,6,2
2185,6,2
2190,6,2
2195,6,2
2200,6,2
2205,6,2
2210,6,2
2215,6,2
2220,6,2
2225,6,2
2230,6,2
2235,6,2
2240,6,2
2245,4,2
2250,6,2
2255,4,1
2260,4,1
2265,4,1
2270,6,1
2275,6,1
2280,4,2
2285,6,1
2290,6,2
2295,6,2
2300,4,2
2305,4,1
2310,4,1
2315,4,1
2320,4,1
2325,4,1
2330,4,1
2335,6,1
2340,4,1
2345,6,1
2350,4,2
2355,4,1
2360,4,1
2365,4,1
2370,4,1
2375,6,1
2380,6,1
2385,6,2
2390,6,2
2395,6,2
2400,6,2
2405,6,2
2410,6,2
2415,6,2
2420,6,2
2425,6,2
2430,6,2
2435,6,2
2440,6,2
2445,6,2
2450,6,2
2455,6,2
2460,6,2
2465,6,2
2470,6,2
2475,6,2
2480,6,2
2485,6,2
2490,6,2
2495,6,2
2500,6,2
2505,6,2
2510,6,2
2515,6,2
2520,6,2
2525,6,2
2530,6,2
2535,6,2
2540,6,2
2545,6,2
2550,6,2
2555,6,2
2560,6,2
2565,6,2
2570,6,2
2575,6,2
2580,6,2
2585,6,2
2590,6,2
2595,6,2
2600,6,2
2605,6,2
2610,6,2
2615,6,2
2620,6,2
2625,6,2
2630,6,2
2635,6,2
2640,6,2
2645,6,2
2650,6,2
2655,6,2
2660,6,2
2665,6,2
2670,6,2
2675,6,2
2680,6,2
2685,6,2
2690,6,2
2695,6,2
2700,6,2
2705,6,2
2710,6,2
2715,6,2
2720,6,2
2725,6,2
2730,6,2
2735,6,2
2740,6,2
2745,6,2
2750,6,2
2755,6,2
2760,6,2
2765,6,2
2770,6,2
2775,6,2
2780,6,2
2785,6,2
2790,6,2
2795,6,2
2800,6,2
2805,6,2
2810,6,2
2815,6,2
2820,6,2
2825,6,2
2830,6,2
2835,6,2
2840,6,2
2845,3,2
2850,3,1
2855,3,1
2860,3,1
2865,3,1
2870,3,1
2875,3,1
2880,3,1
2885,6,1
2890,3,1
2895,3,1
2900,3,1
2905,4,1
2910,3,1
2915,3,1
2920,3,1
2925,4,1
2930,4,1
2935,4,1
2940,3,1
2945,3,1
2950,3,1
2955,3,1
2960,3,1
2965,3,1
