idx,YOLO_pred,LSTM_pred,YOLO_true,LSTM_true
1345,6,2,6,2
1350,6,2,6,2
1355,6,2,6,2
1360,6,2,6,2
1365,6,2,6,2
1370,6,2,6,2
1375,6,2,6,2
1380,6,2,6,2
1385,6,2,6,2
1390,6,2,6,2
1395,6,2,6,2
1400,3,2,6,2
1405,5,1,5,1
1410,3,1,5,1
1415,3,1,5,1
1420,3,1,3,1
1425,4,1,3,1
1430,3,1,3,1
1435,3,1,3,1
1440,3,1,3,1
1445,3,1,3,1
1450,3,1,3,1
1455,3,1,3,1
1460,3,1,3,1
1465,3,1,3,1
1470,3,1,3,1
1475,4,1,3,1
1480,4,1,3,1
1485,3,1,3,1
1490,3,1,3,1
1495,3,1,3,1
1500,3,1,3,1
1505,3,1,3,1
1510,3,1,3,1
1515,4,1,3,1
1520,4,1,3,1
1525,3,1,3,1
1530,3,1,3,1
1535,4,1,3,1
1540,4,1,4,1
1545,4,1,4,1
1550,4,1,4,1
1555,4,1,4,1
1560,4,1,4,1
1565,4,1,4,1
1570,4,1,4,1
1575,4,1,4,1
1580,4,1,4,1
1585,4,1,6,2
1590,4,1,6,2
1595,6,1,6,2
1600,6,2,6,2
1605,6,2,6,2
1610,6,2,6,2
1615,6,2,6,2
1620,6,2,6,2
1625,6,2,6,2
1630,6,2,6,2
1635,6,2,6,2
1640,6,2,6,2
1645,6,2,6,2
1650,6,2,6,2
1655,6,2,6,2
1660,6,2,6,2
1665,6,2,6,2
1670,6,2,6,2
1675,6,2,6,2
1680,6,2,6,2
1685,6,2,6,2
1690,6,2,6,2
1695,6,2,6,2
1700,6,2,6,2
1705,6,2,6,2
1710,6,2,6,2
1715,6,2,6,2
1720,6,2,6,2
1725,6,2,6,2
1730,6,2,6,2
1735,6,2,6,2
1740,6,2,6,2
1745,6,2,6,2
1750,6,2,6,2
1755,6,2,6,2
1760,0,2,6,2
1765,0,0,2,0
1770,0,0,2,0
1775,0,0,2,0
1780,0,0,2,0
1785,0,0,2,0
1790,0,0,0,0
1795,0,0,0,0
1800,0,0,0,0
1805,0,0,0,0
1810,0,0,0,0
1815,0,0,0,0
1820,0,0,0,0
1825,0,0,0,0
1830,0,0,0,0
1835,0,0,0,0
1840,0,0,0,0
1845,0,0,0,0
1850,0,0,0,0
1855,0,0,0,0
1860,0,0,0,0
1865,0,0,0,0
1870,0,0,0,0
1875,0,0,0,0
1880,0,0,0,0
1885,0,0,0,0
1890,0,0,0,0
1895,0,0,0,0
1900,0,0,0,0
1905,0,0,0,0
1910,0,0,0,0
1915,1,0,1,0
1920,1,0,1,0
1925,1,0,1,0
1930,1,0,1,0
1935,1,0,1,0
1940,1,0,1,0
1945,1,0,1,0
1950,1,0,1,0
1955,1,0,1,0
1960,6,0,1,0
1965,6,2,6,2
1970,6,2,6,2
1975,6,2,6,2
1980,6,2,6,2
1985,6,2,6,2
1990,6,2,6,2
1995,6,2,6,2
2000,6,2,6,2
2005,6,2,6,2
2010,6,2,6,2
2015,6,2,6,2
2020,6,2,6,2
2025,6,2,6,2
2030,6,2,6,2
2035,6,2,6,2
2040,6,2,6,2
2045,6,2,6,2
2050,6,2,6,2
2055,6,2,6,2
2060,6,2,6,2
2065,6,2,6,2
2070,6,2,6,2
2075,6,2,6,2
2080,6,2,6,2
2085,6,2,6,2
2090,6,2,6,2
2095,6,2,6,2
2100,6,2,6,2
2105,6,2,6,2
2110,6,2,6,2
2115,6,2,6,2
2120,6,2,6,2
2125,6,2,6,2
2130,6,2,6,2
2135,6,2,6,2
2140,6,2,6,2
2145,6,2,6,2
2150,6,2,6,2
2155,6,2,6,2
2160,6,2,6,2
2165,6,2,6,2
