// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
55472	6.760323	1.194050	6.956671	-0.007217	-0.004733	-0.004400	9.934197	-45.084343	134.371847
55473	6.919875	1.295099	6.788815	0.001882	0.003687	-0.014122	9.941861	-45.084473	134.366189
55474	6.979308	1.354401	6.863188	-0.007502	-0.000066	-0.009015	9.941597	-45.087238	134.364085
55475	6.846749	1.307359	6.862491	-0.004468	0.010147	-0.000176	9.937088	-45.085102	134.370479
55476	6.821451	1.265326	6.771452	-0.003463	-0.000336	-0.000906	9.934621	-45.088804	134.374802
55477	6.993180	1.187186	6.799400	-0.008561	0.000846	-0.004928	9.931380	-45.091447	134.376095
55478	6.933938	1.211166	6.844124	-0.005764	0.016568	-0.002035	9.926572	-45.085497	134.381869
55479	6.802315	1.186134	6.833318	-0.005480	0.004165	-0.005974	9.925358	-45.086163	134.382790
55480	6.790784	1.189190	6.952768	-0.001919	0.006186	-0.007731	9.927013	-45.085502	134.382565
55481	6.947571	1.246268	6.806082	-0.006442	-0.000975	-0.013105	9.929794	-45.088365	134.377067
55482	6.912484	1.230023	6.823503	0.002122	0.006910	-0.010200	9.935100	-45.087041	134.374978
55483	6.820909	1.282120	6.864497	-0.001005	0.011478	-0.009849	9.937919	-45.083197	134.373825
55484	6.920791	1.267174	6.844635	-0.004038	0.000271	-0.008111	9.939125	-45.085830	134.372516
55485	6.965335	1.230596	6.829881	-0.007214	0.003996	-0.006429	9.937193	-45.086547	134.373050
55486	6.906562	1.194035	6.745607	-0.005386	0.005850	-0.008639	9.937397	-45.085986	134.372061
55487	6.869750	1.216073	6.902380	-0.007118	0.005682	-0.009092	9.936860	-45.085488	134.370702
55488	6.907245	1.187186	6.846838	-0.011403	0.000742	0.000034	9.929217	-45.088677	134.375909
