// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
14998	6.836528	1.287551	6.753132	-0.008345	0.004884	-0.006497	10.637999	-45.594649	144.703784
14999	6.960316	1.375375	6.839051	-0.003483	-0.001648	-0.012893	10.642598	-45.597763	144.698231
15000	7.057008	1.393385	6.798905	-0.013564	0.002487	-0.003191	10.635395	-45.599581	144.701085
15001	6.898475	1.239680	6.690818	-0.011912	0.005438	0.001780	10.626021	-45.600263	144.708353
15002	6.937021	1.189237	6.776583	-0.004121	-0.000478	-0.008478	10.627588	-45.603193	144.706506
15003	7.029563	1.183749	6.731638	-0.009163	0.010306	-0.005031	10.623191	-45.600431	144.708984
15004	6.981257	1.178457	6.792654	-0.008101	0.003370	-0.008803	10.622250	-45.601159	144.707457
15005	6.940247	1.169609	6.750082	-0.000648	0.002331	-0.014251	10.628878	-45.601881	144.701384
15006	6.968357	1.248042	6.720211	-0.003577	0.001716	-0.010391	10.631621	-45.603372	144.698328
15007	7.048207	1.259544	6.725391	-0.006740	0.000139	-0.012181	10.633754	-45.605565	144.693597
15008	7.071220	1.306681	6.609754	-0.002938	0.000547	-0.014807	10.639530	-45.607248	144.686809
15009	7.049401	1.320248	6.683251	-0.003225	0.010639	-0.007297	10.639799	-45.604032	144.687564
15010	7.032618	1.269637	6.696411	-0.004557	0.007759	-0.001165	10.636022	-45.603097	144.692847
15011	7.020021	1.242449	6.714349	-0.006505	0.001100	-0.006531	10.634985	-45.605365	144.692738
15012	7.013854	1.254869	6.661864	-0.006931	0.006865	-0.007175	10.633400	-45.604297	144.693048
15013	7.057960	1.287830	6.710232	-0.006356	0.002953	-0.006335	10.632067	-45.605498	144.693513
15014	7.008571	1.275007	6.690381	-0.004067	0.004736	-0.005778	10.631550	-45.605777	144.694626
15015	7.011896	1.298712	6.696010	-0.004642	0.008648	-0.006618	10.630844	-45.603758	144.695614
15016	7.007407	1.275465	6.691513	-0.003130	0.007273	-0.009800	10.632904	-45.602183	144.693873
15017	7.035223	1.258130	6.752445	0.002256	0.007891	-0.002195	10.633639	-45.601094	144.698283
15018	6.952667	1.283274	6.700128	-0.003524	0.006930	-0.007691	10.634296	-45.599935	144.698188
15019	6.968321	1.239058	6.778467	0.000376	0.003976	-0.012819	10.640459	-45.599900	144.693526
15020	7.004486	1.321103	6.726288	0.000032	0.008850	-0.008008	10.643129	-45.597626	144.693466
15021	6.950318	1.328695	6.734324	-0.001533	0.005007	-0.007528	10.645052	-45.597556	144.693239
15022	6.933089	1.321827	6.780010	-0.006208	0.004801	-0.006139	10.643509	-45.597759	144.694072
15023	6.994719	1.318256	6.750217	-0.004462	0.004390	-0.003669	10.641646	-45.598439	144.696828
15024	6.955721	1.272712	6.755456	-0.006997	0.004117	-0.001920	10.637299	-45.599475	144.700952
15025	6.938370	1.265448	6.801331	-0.005764	0.010359	-0.005546	10.635128	-45.596611	144.703067
15026	6.965119	1.240268	6.781535	-0.004117	-0.000484	-0.008480	10.636700	-45.599544	144.701217
15027	6.954619	1.272696	6.756594	-0.008018	0.002468	-0.003353	10.632829	-45.601350	144.703915
15028	6.958919	1.252697	6.729118	-0.004694	0.003426	-0.009320	10.634131	-45.601991	144.701979
15029	6.997202	1.298424	6.724595	-0.006439	0.003836	-0.011790	10.635856	-45.602156	144.698066
15030	7.015565	1.269886	6.727398	-0.002801	0.004868	-0.006653	10.636554	-45.602268	144.698495
15031	6.961591	1.277240	6.735246	-0.003821	0.003220	-0.008085	10.637718	-45.603148	144.697507
15032	6.996010	1.299386	6.725650	-0.005419	0.005482	-0.010357	10.638979	-45.602522	144.695048
15033	7.009841	1.290797	6.756169	-0.006109	0.001434	-0.008644	10.639310	-45.604365	144.693343
15034	7.008296	1.283327	6.675922	-0.006062	0.006650	-0.005941	10.637537	-45.603549	144.694615
15035	7.026673	1.254549	6.678770	-0.005089	0.003081	-0.007211	10.637493	-45.604626	144.694259
15036	7.021699	1.274725	6.706895	-0.005815	0.005138	-0.008248	10.637352	-45.604417	144.693445
15037	7.021299	1.274739	6.707311	-0.006605	0.004453	-0.004030	10.634462	-45.605036	144.695897
15038	7.033901	1.258228	6.657361	-0.005190	0.006443	-0.004706	10.632500	-45.604466	144.698131
15039	7.004443	1.224099	6.720536	-0.003821	0.003218	-0.008085	10.633676	-45.605372	144.697092
15040	7.016288	1.251543	6.703370	-0.003674	0.005070	-0.007887	10.634561	-45.605240	144.696558
15041	6.984837	1.253631	6.718824	-0.001534	0.005004	-0.007526	10.636535	-45.605200	144.696238
15042	7.027578	1.279413	6.686706	-0.003528	0.006922	-0.007689	10.637190	-45.604045	144.696143
15043	6.979162	1.274338	6.747556	-0.001387	0.006856	-0.007328	10.638919	-45.603013	144.696222
15044	6.987023	1.278274	6.725434	-0.003528	0.006921	-0.007689	10.639574	-45.601859	144.696128
15045	6.981855	1.298471	6.753726	-0.003923	0.006579	-0.005580	10.638865	-45.601113	144.697672
15046	6.954983	1.280410	6.741468	-0.003674	0.005068	-0.007887	10.639751	-45.600982	144.697137
15047	7.007335	1.317057	6.767323	-0.008351	0.004857	-0.006501	10.637291	-45.601112	144.697617
15048	6.976713	1.275078	6.749948	-0.006459	0.006301	-0.003832	10.634115	-45.600715	144.700533
15049	6.972427	1.251432	6.745335	-0.006064	0.006643	-0.005941	10.632467	-45.599910	144.701704
15050	6.971047	1.294975	6.778797	-0.006064	0.006643	-0.005941	10.630693	-45.599098	144.702973
15051	6.966900	1.271568	6.773993	-0.003967	0.001363	-0.008284	10.632052	-45.601041	144.701509
15052	6.975009	1.275464	6.751637	-0.003675	0.005067	-0.007887	10.632937	-45.600910	144.700974
15053	6.986797	1.303026	6.734517	-0.004298	0.003761	-0.011430	10.635689	-45.601134	144.697376
15054	6.974166	1.276273	6.752354	-0.003675	0.005066	-0.007887	10.636574	-45.601003	144.696842
15055	7.008636	1.298477	6.742746	-0.004839	0.001565	-0.009520	10.638248	-45.602665	144.694375
15056	6.994096	1.307585	6.712878	-0.003925	0.006575	-0.005579	10.637499	-45.601930	144.695926
15057	6.985028	1.304165	6.736131	-0.007269	0.009241	-0.010321	10.637340	-45.599175	144.694049
15058	7.003442	1.275601	6.738938	-0.004112	-0.000492	-0.008484	10.638918	-45.602111	144.692193
15059	6.989049	1.284569	6.708948	-0.007480	0.004647	-0.005266	10.636219	-45.602495	144.693668
15060	7.007631	1.255663	6.711650	-0.005630	0.000878	-0.005303	10.634950	-45.604997	144.694580
15061	7.015814	1.259202	6.689301	-0.007480	0.004646	-0.005266	10.632217	-45.605382	144.696079
15062	7.006935	1.255591	6.712391	-0.003926	0.006573	-0.005578	10.631468	-45.604647	144.697630
15063	7.006530	1.255736	6.712785	-0.005089	0.003072	-0.007212	10.631377	-45.605742	144.697289
15064	7.006142	1.256117	6.713119	-0.001140	0.005342	-0.009633	10.634689	-45.605272	144.695390
15065	7.023538	1.271251	6.748955	-0.003531	0.006915	-0.007687	10.635373	-45.604139	144.695252
15066	6.982426	1.262043	6.706570	-0.003782	0.008424	-0.005379	10.634392	-45.602383	144.697243
15067	6.999788	1.277013	6.742466	-0.002408	0.005202	-0.008760	10.636527	-45.602108	144.695967
15068	6.999275	1.277389	6.742928	-0.003531	0.006914	-0.007687	10.637180	-45.600959	144.695872
15069	6.984602	1.286584	6.713192	-0.004548	0.005264	-0.009122	10.638273	-45.600589	144.694366
15070	6.958775	1.275948	6.781516	-0.003928	0.006570	-0.005578	10.637523	-45.599856	144.695917
15071	6.997872	1.278063	6.744256	-0.004217	0.002866	-0.005978	10.637324	-45.601154	144.696551
15072	6.983319	1.286955	6.714455	-0.008209	0.006695	-0.006303	10.634525	-45.600274	144.697537
15073	6.970641	1.259801	6.732399	-0.005817	0.005123	-0.008249	10.634449	-45.600071	144.696685
15074	6.973995	1.283610	6.737928	-0.003821	0.003208	-0.008086	10.635565	-45.600966	144.695709
