// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
14998	6.863675	1.333750	6.674601	0.004045	-0.005665	0.000569	11.190267	-46.080406	125.170845
14999	7.041277	1.440997	6.718682	0.008705	-0.012605	-0.008668	11.195378	-46.082511	125.163637
15000	7.055800	1.394881	6.668457	0.003730	-0.017131	0.005676	11.189714	-46.088737	125.167437
15001	6.949696	1.305560	6.649967	-0.000043	-0.004044	0.005367	11.180632	-46.087590	125.172974
15002	6.984766	1.232560	6.607027	0.009734	-0.011172	-0.001856	11.182259	-46.089638	125.171472
15003	7.083922	1.244082	6.695998	0.004113	-0.003810	0.000633	11.178294	-46.087834	125.173211
15004	6.968461	1.231372	6.651740	0.003176	-0.005580	-0.000683	11.174815	-46.086874	125.173566
15005	6.998461	1.206545	6.635032	0.011832	-0.009034	-0.006906	11.180277	-46.087169	125.168357
15006	7.004340	1.280611	6.639335	0.010576	-0.009072	-0.006035	11.184489	-46.087549	125.163934
15007	7.090526	1.276704	6.618011	0.003998	-0.014492	-0.007371	11.186365	-46.090859	125.157474
15008	7.085276	1.358857	6.513733	0.012178	-0.012958	-0.003662	11.190599	-46.093750	125.154212
15009	7.074386	1.353592	6.612888	0.009687	-0.002018	0.000588	11.189647	-46.090934	125.156202
15010	7.079557	1.306508	6.586350	0.007494	-0.003824	0.000143	11.187888	-46.089049	125.157624
15011	7.045276	1.259641	6.596665	0.005831	-0.014998	0.000629	11.186201	-46.093533	125.157566
15012	7.057999	1.309530	6.576436	0.005369	-0.003775	-0.000238	11.183469	-46.091607	125.158615
15013	7.074478	1.331114	6.608833	0.008546	-0.009358	-0.000920	11.183591	-46.092748	125.158205
15014	7.029480	1.336180	6.591227	0.007290	-0.009394	-0.000049	11.182521	-46.094004	125.158482
15015	7.036663	1.313320	6.566135	0.007494	-0.003826	0.000142	11.180782	-46.092154	125.159819
15016	7.028420	1.313145	6.588531	0.012448	-0.005538	-0.003406	11.184220	-46.090845	125.157994
15017	7.059079	1.331903	6.652234	0.013482	-0.004098	0.003405	11.184038	-46.089511	125.161932
15018	6.987495	1.290903	6.623068	0.014119	-0.007568	-0.000967	11.187142	-46.089686	125.161749
15019	6.966933	1.318420	6.615636	0.010255	-0.007347	-0.003849	11.189721	-46.089372	125.159288
15020	7.062110	1.359019	6.652000	0.012448	-0.005542	-0.003406	11.193081	-46.088094	125.157492
15021	6.977030	1.364889	6.671868	0.011124	-0.007434	-0.002598	11.195438	-46.087968	125.156031
15022	6.985982	1.366510	6.648415	0.008296	-0.005770	0.001330	11.193690	-46.087300	125.158098
15023	6.998905	1.339489	6.677509	0.009165	-0.005856	0.002581	11.191718	-46.086863	125.161087
15024	6.989168	1.314557	6.698076	0.006518	-0.009641	0.004199	11.187731	-46.088718	125.164809
15025	6.983960	1.318735	6.643331	0.004530	-0.005877	0.003945	11.182310	-46.088444	125.168900
15026	6.996909	1.291705	6.672410	0.008129	-0.007302	-0.004229	11.183961	-46.088054	125.166091
15027	6.999282	1.316793	6.673281	0.010602	-0.011273	-0.000601	11.185296	-46.090307	125.165633
15028	7.008513	1.318490	6.649505	0.008862	-0.011102	-0.003103	11.186964	-46.092193	125.163285
15029	7.017594	1.320213	6.625873	0.008998	-0.007389	-0.002978	11.188320	-46.092000	125.161523
15030	7.028386	1.346299	6.603932	0.010185	-0.009212	-0.003912	11.191161	-46.092705	125.158706
15031	6.997630	1.348499	6.617628	0.008930	-0.009247	-0.003041	11.192729	-46.093549	125.156596
15032	7.019247	1.322758	6.623614	0.009800	-0.009333	-0.001790	11.194067	-46.094531	125.155580
15033	7.059666	1.322914	6.585511	0.005165	-0.009353	-0.000425	11.191963	-46.095724	125.155573
15034	7.076409	1.344669	6.617589	0.007992	-0.011021	-0.004353	11.193939	-46.097433	125.152127
15035	7.036234	1.302040	6.574010	0.006171	-0.005724	0.000950	11.191188	-46.096740	125.153816
15036	7.048730	1.351946	6.553828	0.007358	-0.007547	0.000016	11.189977	-46.096968	125.154371
15037	7.051455	1.299655	6.604163	0.004916	-0.005759	0.001822	11.186002	-46.096391	125.156761
15038	7.053717	1.324187	6.605222	0.007844	-0.007752	0.003390	11.183067	-46.097114	125.160062
15039	7.019432	1.277311	6.615776	0.007290	-0.009406	-0.000046	11.181965	-46.098379	125.160354
15040	7.042793	1.275911	6.623423	0.014502	-0.007463	-0.003095	11.186613	-46.098229	125.158415
15041	7.023953	1.327621	6.617650	0.009551	-0.005742	0.000456	11.186090	-46.097491	125.159701
15042	7.047170	1.326255	6.625436	0.010635	-0.007243	-0.005974	11.190131	-46.096920	125.155475
15043	7.016313	1.328526	6.639274	0.010738	-0.007567	-0.000478	11.191044	-46.097104	125.155711
15044	7.016754	1.329200	6.638672	0.009551	-0.005743	0.000456	11.190528	-46.096358	125.157017
15045	7.023828	1.306407	6.613672	0.008680	-0.005659	-0.000794	11.190227	-46.095434	125.157302
15046	7.017611	1.330521	6.637501	0.009799	-0.009341	-0.001789	11.191574	-46.096473	125.156199
15047	7.019875	1.355392	6.638472	0.005301	-0.005642	-0.000300	11.189045	-46.095596	125.156888
15048	7.027022	1.332319	6.613447	0.006974	-0.007670	0.002140	11.186361	-46.096125	125.159172
15049	6.979298	1.332302	6.673091	0.007358	-0.007552	0.000017	11.185047	-46.096355	125.159811
15050	6.986542	1.309574	6.647899	0.011924	-0.009395	-0.001412	11.187461	-46.097482	125.158917
15051	6.995491	1.311153	6.624372	0.006555	-0.005610	-0.001172	11.186157	-46.096489	125.158903
15052	7.004372	1.312672	6.600924	0.009866	-0.007487	-0.001728	11.187310	-46.096489	125.158134
15053	7.027657	1.311314	6.608632	0.010250	-0.007369	-0.003852	11.189891	-46.096187	125.155667
15054	7.023200	1.359973	6.634016	0.011121	-0.007454	-0.002601	11.192296	-46.096047	125.154207
15055	7.030405	1.337333	6.608837	0.007673	-0.009295	-0.002166	11.192639	-46.097015	125.152797
15056	7.032708	1.362291	6.609722	0.007741	-0.007437	-0.002106	11.192858	-46.096917	125.151703
15057	7.056022	1.360651	6.617446	0.007358	-0.007555	0.000018	11.191544	-46.097149	125.152343
15058	7.023441	1.338332	6.629761	0.009866	-0.007490	-0.001729	11.192706	-46.097155	125.151559
15059	7.022221	1.314463	6.627512	0.002657	-0.009428	0.001327	11.188150	-46.098586	125.152960
15060	7.064377	1.338482	6.590933	0.006036	-0.009448	0.000831	11.185913	-46.099979	125.153868
15061	7.021600	1.290776	6.624596	0.008297	-0.005782	0.001327	11.184167	-46.099361	125.155853
15062	7.048446	1.337634	6.635503	0.007358	-0.007557	0.000018	11.182821	-46.099575	125.156568
15063	7.024317	1.316176	6.624950	0.009866	-0.007492	-0.001729	11.183957	-46.099578	125.155802
15064	7.031352	1.293417	6.599970	0.009619	-0.003892	0.000513	11.183226	-46.097838	125.157395
15065	7.037670	1.290196	6.653569	0.009865	-0.007493	-0.001729	11.184362	-46.097842	125.156629
15066	7.056823	1.316825	6.608700	0.007358	-0.007559	0.000018	11.183051	-46.098080	125.157273
15067	7.047077	1.292453	6.629380	0.012373	-0.007430	-0.003476	11.186637	-46.097853	125.155100
15068	7.036700	1.344948	6.600588	0.008612	-0.007527	-0.000855	11.186532	-46.097998	125.155026
15069	7.018478	1.319522	6.644255	0.007426	-0.005701	0.000077	11.185008	-46.097195	125.156011
