// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
21572	9.786633	0.686310	0.223255	0.020608	-0.063019	-0.024567	70.667179	-85.041622	-116.113435
21573	9.786401	0.708848	0.203535	0.008876	-0.056695	-0.023240	71.084619	-85.039389	-116.527127
21574	9.786559	0.690969	0.211850	0.003908	-0.053689	-0.023214	71.481589	-85.036645	-116.923176
21575	9.743759	0.729141	0.259259	-0.000353	-0.066699	-0.022992	71.955115	-85.035820	-117.398473
21576	9.775751	0.665108	0.154120	0.016443	-0.089248	-0.020276	72.576303	-85.040303	-118.012376
21577	9.839034	0.772435	0.125647	0.009646	-0.078578	-0.021237	73.127269	-85.041632	-118.559652
21578	9.786251	0.719761	0.169616	-0.015268	-0.056218	-0.023339	73.528304	-85.038023	-118.970810
21579	9.752339	0.647482	0.141777	-0.002089	-0.070786	-0.020350	74.021380	-85.037831	-119.466730
21580	9.809144	0.768014	0.134179	0.002658	-0.068935	-0.020302	74.507132	-85.037297	-119.952620
21581	9.762849	0.701791	0.159474	-0.019276	-0.051779	-0.018778	74.866386	-85.034414	-120.324099
21582	9.769140	0.690285	0.134563	0.003368	-0.059706	-0.016617	75.287040	-85.033968	-120.744239
21583	9.809296	0.752816	0.131452	-0.007659	-0.047118	-0.010649	75.609133	-85.034496	-121.071737
21584	9.715609	0.698368	0.134781	-0.009316	-0.036951	-0.013992	75.872719	-85.031881	-121.341510
21585	9.762071	0.747246	0.113524	0.005738	-0.041295	-0.004269	76.155056	-85.034870	-121.621397
21586	9.803654	0.728153	0.167188	-0.004680	-0.028548	-0.003095	76.350240	-85.036969	-121.819844
21587	9.733297	0.696531	0.163080	-0.005278	-0.030180	0.002160	76.545583	-85.041863	-122.018744
21588	9.733367	0.696451	0.159190	0.000859	-0.050055	-0.000599	76.879089	-85.048055	-122.352849
21589	9.762927	0.707559	0.125602	0.001947	-0.058112	-0.006032	77.271822	-85.051765	-122.745720
21590	9.762581	0.728353	0.105592	0.007409	-0.069327	-0.006714	77.743990	-85.056535	-123.215219
21591	9.816045	0.723599	0.088531	0.008332	-0.081356	-0.009339	78.296955	-85.060596	-123.765242
21592	9.792019	0.741155	0.061705	0.004417	-0.083474	-0.015628	78.872605	-85.061195	-124.340341
21593	9.809733	0.739730	0.092566	-0.005632	-0.067192	-0.018693	79.337980	-85.057561	-124.810478
21594	9.779866	0.750500	0.100816	-0.006855	-0.064575	-0.009996	79.777041	-85.058540	-125.254959
21595	9.786038	0.738578	0.074178	-0.010034	-0.081227	-0.016549	80.328119	-85.056837	-125.813651
21596	9.780709	0.713091	0.112507	-0.005875	-0.098875	-0.017043	80.999542	-85.056285	-126.490796
21597	9.763235	0.697856	0.078172	-0.009950	-0.104964	-0.020516	81.709094	-85.053287	-127.208509
21598	9.733366	0.709724	0.081909	-0.012504	-0.122913	-0.031421	82.545870	-85.044976	-128.055448
21599	9.768587	0.710624	0.021001	0.003357	-0.139494	-0.035627	83.497905	-85.033988	-129.008919
21600	9.813975	0.782307	-0.024441	-0.003128	-0.141026	-0.034356	84.453685	-85.022746	-129.969946
21601	9.785642	0.734785	0.018905	-0.017808	-0.121163	-0.040653	85.267245	-85.005309	-130.796625
21602	9.790833	0.745624	-0.026712	-0.009530	-0.131229	-0.038165	86.147006	-84.988964	-131.685068
21603	9.795288	0.776597	-0.087117	0.007253	-0.140484	-0.039721	87.088241	-84.970519	-132.625543
21604	9.790145	0.753277	-0.052200	-0.010565	-0.108910	-0.038694	87.810256	-84.950959	-133.356274
21605	9.742481	0.749308	-0.071295	-0.015889	-0.095203	-0.040322	88.432326	-84.929166	-133.989704
21606	9.794740	0.767775	-0.105233	0.001527	-0.105089	-0.033591	89.124838	-84.911003	-134.683905
21607	9.793663	0.791164	-0.128697	0.003957	-0.093241	-0.032104	89.734657	-84.892638	-135.293658
21608	9.834692	0.815112	-0.106715	-0.018479	-0.046135	-0.026689	90.029499	-84.877184	-135.600145
21609	9.693762	0.810129	-0.024742	-0.060466	0.009084	-0.022864	89.943531	-84.863573	-135.548401
21610	9.677416	0.754313	-0.021597	-0.031477	-0.017946	-0.011142	90.049585	-84.856974	-135.672827
21611	9.707540	0.782008	0.058118	-0.024101	-0.030250	-0.000073	90.234921	-84.856378	-135.872564
21612	9.706977	0.745730	-0.042342	-0.029619	-0.045286	-0.000967	90.515872	-84.855438	-136.171527
21613	9.759479	0.760644	-0.071714	-0.017867	-0.061396	0.002130	90.903034	-84.855706	-136.570321
