// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07197	9.656198	0.010671	-0.134632	-0.005377	0.009810	-0.008148	-144.855996	-88.817812	-104.479522
07198	9.719214	-0.012818	-0.261701	-0.005195	0.002810	-0.008202	-144.897562	-88.817576	-104.439256
07199	9.819003	-0.025991	-0.237935	-0.003964	-0.005873	-0.010367	-145.126633	-88.813964	-104.210742
07200	9.810820	0.033831	-0.243795	-0.006835	0.006802	-0.007260	-145.084365	-88.815291	-104.255268
07201	9.712760	-0.019257	-0.239176	-0.007271	0.009832	-0.004772	-144.938682	-88.817212	-104.403485
07202	9.665250	-0.063408	-0.216237	-0.005809	0.001463	-0.008578	-145.010545	-88.816466	-104.333267
07203	9.800462	-0.068439	-0.260182	-0.003150	0.003510	-0.007918	-145.034528	-88.816453	-104.309419
07204	9.799172	-0.099574	-0.273194	-0.000514	0.001901	-0.006466	-145.048312	-88.815218	-104.294259
07205	9.724040	-0.111263	-0.190636	0.000145	0.010562	-0.007673	-144.952670	-88.818434	-104.388173
07206	9.722768	-0.142477	-0.203109	0.001325	0.005944	-0.005335	-144.875280	-88.818722	-104.463152
07207	9.754756	-0.178248	-0.208086	0.000766	0.000532	-0.010216	-144.996874	-88.818069	-104.339429
07208	9.805314	-0.168621	-0.189334	0.001302	0.002288	-0.004543	-144.959829	-88.816383	-104.374067
07209	9.775099	-0.199334	-0.155809	0.000734	0.008253	-0.006503	-144.873836	-88.818128	-104.457992
07210	9.702118	-0.198050	-0.149371	0.000559	0.003875	-0.009368	-144.921602	-88.818775	-104.408228
07211	9.741880	-0.193203	-0.162876	-0.003610	0.002883	-0.004638	-144.881352	-88.817386	-104.448890
07212	9.816185	-0.161258	-0.155066	-0.002538	0.004857	-0.007540	-144.873663	-88.817891	-104.456367
07213	9.769982	-0.173430	-0.118941	-0.005787	0.005118	-0.009369	-144.906442	-88.819109	-104.425232
07214	9.745765	-0.095416	-0.121648	-0.005404	0.006152	-0.007352	-144.875398	-88.820159	-104.457711
07215	9.712513	-0.089969	-0.129307	-0.004375	0.000814	-0.008671	-144.960309	-88.819129	-104.373624
07216	9.792010	-0.080833	-0.156889	-0.004605	0.000500	-0.007031	-145.011711	-88.817423	-104.323182
07217	9.782502	-0.052948	-0.175721	-0.005175	0.006466	-0.008991	-145.014155	-88.819148	-104.322038
07218	9.760034	-0.042911	-0.150645	-0.003819	0.006226	-0.003788	-144.900008	-88.819061	-104.436729
07219	9.737559	-0.032914	-0.125779	-0.003763	0.002162	-0.008293	-144.954400	-88.818540	-104.382818
07220	9.760049	-0.041676	-0.150024	-0.002177	0.002235	-0.004731	-144.924497	-88.816890	-104.412307
07221	9.794253	-0.064620	-0.231017	-0.003972	0.005505	-0.007444	-144.906352	-88.817657	-104.431067
07222	9.765300	-0.063254	-0.184229	-0.002309	0.005172	-0.009177	-144.930727	-88.818849	-104.406342
07223	9.748058	-0.076103	-0.194376	-0.007681	0.005137	-0.005994	-144.887616	-88.818966	-104.452199
07224	9.746830	-0.107309	-0.207085	0.000118	0.006908	-0.006876	-144.830461	-88.820212	-104.507630
07225	9.746847	-0.106550	-0.206680	-0.005808	0.001461	-0.008576	-144.903817	-88.819457	-104.435922
07226	9.778889	-0.142153	-0.211651	-0.002310	0.005172	-0.009176	-144.928194	-88.820649	-104.411196
07227	9.728399	-0.150401	-0.229743	-0.003591	0.006539	-0.005426	-144.847282	-88.821234	-104.492519
07228	9.723167	-0.126743	-0.194220	-0.003763	0.002162	-0.008292	-144.900557	-88.820724	-104.439720
07229	9.801447	-0.149392	-0.234923	-0.003993	0.001848	-0.006653	-144.922887	-88.819515	-104.418009
07230	9.772478	-0.148174	-0.188342	-0.002540	0.004859	-0.007536	-144.915082	-88.820019	-104.425602
07231	9.772499	-0.147446	-0.187866	0.000939	0.004914	-0.007345	-144.901324	-88.820475	-104.437160
07232	9.739255	-0.142198	-0.195292	-0.005026	0.007186	-0.005331	-144.807438	-88.821342	-104.532279
