// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07197	9.650490	0.067888	-0.313401	0.006120	-0.006794	-0.003688	-176.342715	-88.504756	-99.470562
07198	9.740747	0.074548	-0.326503	0.007307	-0.008928	-0.001620	-176.360939	-88.504117	-99.452967
07199	9.807399	0.097339	-0.359088	0.005180	-0.011871	0.000033	-176.346730	-88.501573	-99.469051
07200	9.826321	0.054847	-0.388236	0.006332	-0.003235	-0.002583	-176.378643	-88.504224	-99.438322
07201	9.704344	0.053905	-0.363654	0.003056	-0.003719	0.002816	-176.293288	-88.506238	-99.526795
07202	9.700995	0.020041	-0.358068	0.010279	-0.013940	-0.001111	-176.305786	-88.502715	-99.513225
07203	9.773736	0.012571	-0.361993	0.008668	-0.007827	-0.004261	-176.377963	-88.502638	-99.440897
07204	9.811495	-0.023201	-0.346561	0.009387	-0.006952	0.000231	-176.351714	-88.503061	-99.466597
07205	9.770374	-0.020823	-0.356832	0.012111	-0.004754	-0.005050	-176.435004	-88.504768	-99.381179
07206	9.717871	-0.062989	-0.328763	0.008835	-0.005237	0.000350	-176.404087	-88.506168	-99.411866
07207	9.765064	-0.095525	-0.290988	0.015166	-0.008471	-0.002235	-176.429149	-88.505647	-99.382945
07208	9.810900	-0.120656	-0.307440	0.011255	-0.008534	0.000979	-176.387599	-88.505140	-99.422882
07209	9.769774	-0.118492	-0.317814	0.012064	-0.005721	-0.001544	-176.395465	-88.506167	-99.412939
07210	9.753629	-0.140149	-0.254751	0.010787	-0.005524	0.003403	-176.296781	-88.507290	-99.510298
07211	9.739430	-0.120539	-0.252331	0.009982	-0.007695	-0.003396	-176.349179	-88.507257	-99.457001
07212	9.788576	-0.111771	-0.275243	0.008621	-0.008792	-0.000755	-176.347500	-88.506664	-99.458563
07213	9.783809	-0.088738	-0.250612	0.007518	-0.005365	-0.000518	-176.334849	-88.507858	-99.471749
07214	9.731814	-0.033108	-0.264256	0.006201	-0.005495	-0.001384	-176.343742	-88.509173	-99.464123
07215	9.741234	-0.029733	-0.242628	0.007389	-0.007627	0.000684	-176.307916	-88.509029	-99.500567
07216	9.785628	0.002010	-0.240276	0.003353	-0.009314	-0.004219	-176.386074	-88.508264	-99.425283
07217	9.788914	0.035869	-0.247513	0.008154	-0.005782	0.001668	-176.325624	-88.509142	-99.485920
07218	9.770019	0.029212	-0.292498	0.010874	-0.003586	-0.003615	-176.378254	-88.511629	-99.431863
07219	9.724148	0.054567	-0.277546	0.009172	-0.010503	-0.000874	-176.379665	-88.509899	-99.430035
07220	9.769972	0.029451	-0.294051	0.008068	-0.007076	-0.000637	-176.373318	-88.510283	-99.436583
07221	9.751055	0.022753	-0.339345	0.008620	-0.008788	-0.000756	-176.370096	-88.509530	-99.439705
07222	9.784110	0.009895	-0.298567	0.007517	-0.005362	-0.000519	-176.359072	-88.510889	-99.451248
07223	9.716049	-0.005402	-0.321440	0.007516	-0.005362	-0.000519	-176.346497	-88.512086	-99.464360
07224	9.761871	-0.030446	-0.337790	0.005985	-0.009050	-0.002487	-176.384808	-88.511409	-99.427429
07225	9.761840	-0.030331	-0.338692	0.006622	-0.009467	-0.000301	-176.373685	-88.510250	-99.439601
07226	9.766539	-0.053328	-0.364795	0.008067	-0.007073	-0.000638	-176.367359	-88.510635	-99.446129
07227	9.744312	-0.044254	-0.330561	0.009427	-0.005976	-0.003281	-176.415347	-88.511580	-99.397563
07228	9.740994	-0.077830	-0.324745	0.008619	-0.008785	-0.000757	-176.413681	-88.510991	-99.399113
07229	9.772625	-0.083319	-0.338212	0.008618	-0.008785	-0.000757	-176.410466	-88.510237	-99.402229
07230	9.758415	-0.063616	-0.335988	0.010615	-0.008104	-0.001214	-176.416765	-88.510053	-99.394667
07231	9.759843	-0.070773	-0.282624	0.007429	-0.006655	-0.002826	-176.456787	-88.510592	-99.355215
07232	9.723419	-0.091595	-0.318269	0.011252	-0.008520	0.000972	-176.415216	-88.510093	-99.395174
07233	9.759801	-0.070601	-0.284107	0.011973	-0.007006	-0.003858	-176.475784	-88.510465	-99.332563
07234	9.794726	-0.042209	-0.303966	0.008066	-0.007070	-0.000640	-176.469505	-88.510852	-99.339044
07235	9.736111	-0.054087	-0.304686	0.006749	-0.007202	-0.001505	-176.481597	-88.511032	-99.327922
07236	9.772502	-0.033104	-0.270483	0.008066	-0.007069	-0.000640	-176.475325	-88.511420	-99.334397
07237	9.780477	-0.022362	-0.303094	0.008617	-0.008781	-0.000758	-176.472042	-88.510670	-99.337580
07238	9.744094	0.006309	-0.265963	0.006749	-0.007201	-0.001505	-176.485730	-88.511013	-99.324843
07239	9.775722	0.000839	-0.279412	0.006621	-0.009461	-0.000301	-176.474460	-88.509857	-99.337160
07240	9.764805	0.054274	-0.283604	0.011506	-0.003995	-0.001438	-176.479618	-88.512031	-99.330229
07241	9.758221	-0.013036	-0.271017	0.005431	-0.007332	-0.002370	-176.511706	-88.512165	-99.299858
07242	9.793135	0.015300	-0.290818	0.009510	-0.004674	-0.000981	-176.508903	-88.513935	-99.302034
07243	9.751989	0.017376	-0.301009	0.008704	-0.007482	0.001545	-176.453080	-88.513846	-99.357729
07244	9.748686	-0.016320	-0.295118	0.007426	-0.006651	-0.002828	-176.494826	-88.514550	-99.316537
07245	9.740687	-0.026782	-0.263992	0.009294	-0.008230	-0.002082	-176.519634	-88.514160	-99.291234
07246	9.735874	-0.053103	-0.312323	0.007298	-0.008910	-0.001623	-176.537941	-88.513529	-99.273561
07247	9.791164	-0.074692	-0.306559	0.005430	-0.007331	-0.002370	-176.570090	-88.513663	-99.243129
07248	9.750014	-0.072536	-0.316741	0.010148	-0.005087	0.001203	-176.519336	-88.515121	-99.292907
07249	9.745301	-0.049415	-0.292129	0.007976	-0.008361	-0.002946	-176.564116	-88.514686	-99.248379
07250	9.759463	-0.068903	-0.295905	0.008064	-0.007064	-0.000642	-176.557894	-88.515077	-99.254805
07251	9.749945	-0.072244	-0.318909	0.007298	-0.008908	-0.001624	-176.574607	-88.514283	-99.238744
07252	9.759418	-0.068620	-0.297434	0.007425	-0.006649	-0.002829	-176.616450	-88.514986	-99.197455
07253	9.749903	-0.071843	-0.320298	0.008742	-0.006515	-0.001966	-176.636732	-88.515573	-99.176997
07254	9.731012	-0.028960	-0.292731	0.009293	-0.008226	-0.002084	-176.663135	-88.515348	-99.150083
07255	9.786315	-0.050635	-0.286814	0.010825	-0.004536	-0.000122	-176.638939	-88.517004	-99.172919
07256	9.745154	-0.048610	-0.297121	0.009805	-0.010898	0.001308	-176.593672	-88.515136	-99.217406
07257	9.757902	-0.011284	-0.282350	0.006784	-0.006234	-0.005016	-176.682012	-88.515985	-99.129986
07258	9.780007	-0.020016	-0.318058	0.009165	-0.010483	-0.000879	-176.684777	-88.514429	-99.126792
07259	9.751610	0.019380	-0.312925	0.009292	-0.008224	-0.002085	-176.709522	-88.514038	-99.101551
07260	9.772012	-0.030428	-0.287927	0.008614	-0.008770	-0.000762	-176.707822	-88.513458	-99.103139
07261	9.735684	-0.001733	-0.250862	0.008613	-0.008770	-0.000762	-176.704506	-88.512714	-99.106361
07262	9.771964	-0.030378	-0.289545	0.009380	-0.006924	0.000218	-176.678432	-88.513157	-99.131891
07263	9.781463	-0.026805	-0.267872	0.008866	-0.004253	-0.003174	-176.722430	-88.515075	-99.087638
07264	9.775188	0.003617	-0.297483	0.007169	-0.011161	-0.000419	-176.717013	-88.513116	-99.093771
07265	9.735610	-0.001294	-0.253754	0.009417	-0.005963	-0.003292	-176.765505	-88.514061	-99.044711
07266	9.754440	-0.043753	-0.282702	0.007972	-0.008355	-0.002949	-176.811851	-88.513788	-98.998604
07267	9.771864	-0.029548	-0.292997	0.010824	-0.004530	-0.000127	-176.787983	-88.515445	-99.021119
07268	9.754406	-0.043619	-0.283887	0.008062	-0.007056	-0.000646	-176.781875	-88.515841	-99.027431
07269	9.786008	-0.049134	-0.297348	0.008612	-0.008766	-0.000763	-176.778474	-88.515099	-99.030727
07270	9.736920	-0.057604	-0.275828	0.008612	-0.008766	-0.000763	-176.776769	-88.514521	-99.032320
07271	9.762249	-0.032896	-0.318124	0.011374	-0.006239	-0.000245	-176.757229	-88.515207	-99.050180
07272	9.768506	-0.063134	-0.289809	0.007510	-0.005344	-0.000529	-176.746712	-88.516579	-99.061219
07273	9.744765	-0.047026	-0.309873	0.010353	-0.012597	0.001189	-176.704160	-88.513584	-99.102691
07274	9.762169	-0.032892	-0.320579	0.007970	-0.008352	-0.002950	-176.750522	-88.513314	-99.056569
07275	9.768429	-0.062917	-0.292417	0.008737	-0.006507	-0.001971	-176.770945	-88.513903	-99.035977
07276	9.762124	-0.032578	-0.321960	0.008060	-0.007053	-0.000647	-176.764868	-88.514301	-99.042260
07277	9.754207	-0.043025	-0.290727	0.007419	-0.006641	-0.002833	-176.805233	-88.514842	-99.002471
07278	9.771620	-0.028803	-0.301091	0.008060	-0.007052	-0.000647	-176.799168	-88.515240	-99.008742
07279	9.762056	-0.032202	-0.324068	0.007292	-0.008897	-0.001626	-176.815704	-88.514451	-98.992853
07280	9.774818	0.005221	-0.309369	0.009963	-0.007669	-0.003413	-176.870327	-88.514584	-98.937325
07281	9.747824	-0.012197	-0.322530	0.005515	-0.006023	-0.000068	-176.850017	-88.515387	-98.959316
07282	9.776435	-0.001784	-0.256728	0.011796	-0.010199	0.000841	-176.812819	-88.513938	-98.994589
07283	9.768258	-0.062014	-0.298254	0.006099	-0.006775	-0.003696	-176.873175	-88.514429	-98.935563
07284	9.757298	-0.008404	-0.302597	0.008735	-0.006503	-0.001973	-176.895338	-88.515183	-98.913210
07285	9.736610	-0.056017	-0.286888	0.009286	-0.008213	-0.002090	-176.920105	-88.514801	-98.887943
07286	9.776358	-0.001016	-0.259651	0.007417	-0.006638	-0.002835	-176.962235	-88.515503	-98.846370
07287	9.760309	-0.071724	-0.269138	0.009285	-0.008212	-0.002090	-176.987053	-88.515124	-98.821061
07288	9.722363	-0.035855	-0.286091	0.006065	-0.007730	-0.000186	-176.972776	-88.515121	-98.836690
07289	9.763505	-0.037901	-0.277348	0.008059	-0.007047	-0.000649	-176.965068	-88.515353	-98.844616
07290	9.773043	-0.034239	-0.255907	0.007967	-0.008347	-0.002952	-177.011481	-88.515081	-98.798445
07291	9.763462	-0.037658	-0.278872	0.007382	-0.007592	0.000675	-176.975650	-88.514967	-98.834904
07292	9.768065	-0.060879	-0.304767	0.009376	-0.006910	0.000211	-176.949763	-88.515421	-98.860250
07293	9.753856	-0.041237	-0.302524	0.008608	-0.008755	-0.000767	-176.946342	-88.514682	-98.863575
07294	9.753834	-0.041129	-0.303264	0.008733	-0.006500	-0.001975	-176.968594	-88.515437	-98.841133
07295	9.744243	-0.044603	-0.326216	0.007932	-0.009300	0.000558	-176.936943	-88.514348	-98.873081
07296	9.780769	-0.023388	-0.292416	0.009959	-0.007663	-0.003417	-176.991662	-88.514482	-98.817460
07297	9.755495	-0.047744	-0.251305	0.004320	-0.003899	-0.002139	-177.015269	-88.516562	-98.796191
07298	9.753747	-0.040685	-0.306100	0.011794	-0.010189	0.000837	-176.977964	-88.515121	-98.831572
07299	9.749112	-0.017428	-0.281703	0.009408	-0.005952	-0.003302	-177.026818	-88.516056	-98.782155
07300	9.777461	-0.056541	-0.288415	0.008607	-0.008752	-0.000768	-177.025102	-88.515486	-98.783762
07301	9.756902	-0.006546	-0.315152	0.009958	-0.007661	-0.003419	-177.078379	-88.515467	-98.729632
07302	9.771063	-0.026083	-0.318892	0.007381	-0.007587	0.000674	-177.044206	-88.515521	-98.764409
07303	9.749023	-0.016962	-0.284794	0.005295	-0.009570	-0.001163	-177.052287	-88.514338	-98.758121
07304	9.748999	-0.016848	-0.285619	0.012594	-0.007385	-0.001699	-177.067286	-88.514577	-98.740722
07305	9.739395	-0.020214	-0.308508	0.005419	-0.007315	-0.002372	-177.099553	-88.514730	-98.710187
07306	9.780549	-0.022131	-0.299797	0.008056	-0.007041	-0.000653	-177.093669	-88.515136	-98.716278
