// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
42599	9.131949	3.080676	0.461999	0.058110	0.008016	0.055394	86.056229	-69.939264	45.002391
42600	8.972909	3.180037	0.498706	0.094606	0.021939	0.060893	86.079885	-69.973324	45.035793
42601	8.759145	3.194766	0.533825	-0.041198	-0.030151	0.063445	86.102695	-70.010590	44.986616
42602	8.740620	3.031669	0.116410	-0.102535	-0.106148	0.079947	86.212964	-70.060479	44.807674
42603	8.849166	3.194301	0.213821	0.024242	-0.120433	0.077761	86.414933	-70.109196	44.607854
42604	8.950085	3.248582	0.320461	0.038897	-0.123756	0.083816	86.635535	-70.161516	44.397873
42605	8.935901	3.202676	0.343346	0.014806	-0.113193	0.077033	86.822686	-70.209086	44.208186
42606	8.798453	3.232328	0.270960	0.010733	-0.076784	0.077764	86.954871	-70.256030	44.075140
42607	8.564140	3.361943	0.143719	0.019041	-0.072502	0.086440	87.080321	-70.307445	43.953692
42608	8.412039	3.569210	0.265744	-0.049637	-0.119377	0.087812	87.246651	-70.361130	43.747738
42609	8.439113	3.880211	0.836216	-0.199120	-0.183197	0.080006	87.426846	-70.411573	43.435557
42610	8.734601	3.838171	1.128008	-0.369495	-0.223140	0.059008	87.580959	-70.450946	43.048194
42611	9.317983	3.429296	0.797866	-0.452853	-0.242579	0.012152	87.717898	-70.463357	42.627773
42612	9.856414	2.908952	0.254098	-0.381674	-0.210735	-0.018169	87.850966	-70.457633	42.255406
42613	10.013396	2.449063	-0.050290	-0.233706	-0.135090	-0.016994	87.941890	-70.450509	42.017043
42614	9.893683	2.368324	-0.193826	-0.065793	-0.091945	0.009478	88.062604	-70.457770	41.849825
42615	9.782395	2.623603	-0.135449	0.048187	-0.093946	0.040702	88.245754	-70.482605	41.685013
42616	9.788867	3.010082	0.028608	0.087181	-0.076945	0.058413	88.428077	-70.517316	41.545466
42617	9.689016	3.300241	0.363294	0.088881	-0.054059	0.069181	88.569714	-70.557551	41.449489
42618	9.568100	3.550090	0.606682	0.077084	-0.044065	0.062962	88.693725	-70.594178	41.365703
42619	9.486265	3.613638	0.673418	0.033681	-0.045852	0.068004	88.791267	-70.633497	41.282987
42620	9.352606	3.434235	0.699808	-0.038734	-0.059831	0.071351	88.875077	-70.675015	41.171519
42621	9.356708	3.249974	0.579919	-0.070516	-0.076200	0.072388	88.963079	-70.717084	41.035691
42622	9.392956	2.966760	0.379702	-0.069903	-0.069581	0.071316	89.045862	-70.758568	40.906450
42623	9.339387	2.681044	0.079951	0.021088	-0.038329	0.075464	89.124969	-70.801931	40.835695
42624	9.163490	2.722729	0.077597	0.113105	-0.023475	0.068601	89.237672	-70.841350	40.785860
42625	9.120956	2.689801	0.087707	0.098291	-0.050677	0.049874	89.382687	-70.870059	40.692201
