// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
59431	9.672806	-0.615347	-0.699871	-0.010149	-0.044021	-0.062460	-136.281696	-85.117294	-148.441240
59432	9.723249	-0.478268	-0.724164	-0.027177	-0.041334	-0.047781	-136.700975	-85.115484	-148.035693
59433	9.603450	-0.420829	-0.739677	-0.039762	-0.035065	-0.037139	-137.046514	-85.112156	-147.711265
59434	9.608971	-0.328773	-0.655875	-0.045639	-0.043490	-0.038300	-137.438720	-85.105297	-147.343499
59435	9.763858	-0.275973	-0.548161	-0.063280	-0.028059	-0.048518	-137.821415	-85.108964	-146.995300
59436	9.838365	-0.160634	-0.557943	-0.047985	-0.020987	-0.038332	-138.113394	-85.111307	-146.729469
59437	9.741248	-0.019585	-0.521997	-0.066841	-0.018783	-0.024877	-138.339323	-85.109604	-146.540658
59438	9.600636	-0.100984	-0.532983	-0.121101	-0.019878	-0.010977	-138.531484	-85.101857	-146.417040
59439	9.584249	-0.291498	-0.681222	-0.164602	-0.020489	0.000175	-138.694743	-85.089823	-146.347344
59440	9.543749	-0.425296	-0.783302	-0.243827	-0.012275	0.006636	-138.834702	-85.078652	-146.346684
59441	9.601803	-0.801677	-0.962684	-0.209161	-0.024642	0.009372	-138.994474	-85.061330	-146.306109
59442	9.758726	-0.805330	-0.803768	-0.113923	-0.030291	-0.002664	-139.183981	-85.045834	-146.181011
59443	9.891236	-0.806261	-0.685730	-0.050646	-0.011790	0.001611	-139.235023	-85.036974	-146.158410
59444	9.933912	-0.656611	-0.756332	0.017614	-0.005445	0.009745	-139.179261	-85.027576	-146.203859
59445	9.871080	-0.212329	-0.741379	0.050752	-0.014616	0.023330	-139.076449	-85.009352	-146.277378
59446	9.924155	-0.046873	-0.562283	0.003549	-0.020469	0.026468	-139.011242	-84.987162	-146.340397
59447	9.937826	-0.156339	-0.580608	-0.087118	-0.011993	0.027663	-138.956007	-84.968426	-146.445458
59448	9.719532	-0.371656	-0.754899	-0.163828	-0.002707	0.045296	-138.820125	-84.946815	-146.675689
59449	9.603644	-0.637854	-0.880999	-0.151273	-0.016750	0.056870	-138.681898	-84.914960	-146.900978
59450	9.563789	-0.670399	-0.806179	-0.079221	-0.020355	0.047782	-138.564290	-84.884721	-147.064214
59451	9.590012	-0.730366	-0.715045	-0.073997	-0.008271	0.044643	-138.408555	-84.861055	-147.262648
59452	9.524877	-0.811578	-0.769928	-0.065278	-0.000281	0.043413	-138.222162	-84.840984	-147.486943
59453	9.470279	-0.824635	-0.824557	-0.054660	0.000987	0.047489	-138.006116	-84.820063	-147.734822
59454	9.460136	-0.844054	-0.735849	-0.040852	-0.008230	0.037742	-137.869092	-84.798640	-147.895516
59455	9.472110	-0.848591	-0.716051	-0.060503	-0.008148	0.026163	-137.797302	-84.781933	-148.001918
59456	9.530554	-0.859045	-0.752888	-0.136392	-0.008247	0.015707	-137.818877	-84.768937	-148.058337
59457	9.590257	-0.972238	-0.828283	-0.162523	0.004979	-0.010829	-137.922442	-84.772032	-148.047353
59458	9.596973	-1.092226	-0.618712	-0.226508	-0.009066	-0.037915	-138.248343	-84.779218	-147.850034
59459	9.648777	-1.548505	-0.555131	-0.251180	-0.013974	-0.062298	-138.723987	-84.793716	-147.516433
59460	9.817987	-1.827633	-0.714133	-0.128628	-0.003486	-0.077409	-139.160370	-84.817883	-147.151893
59461	10.007481	-1.690645	-0.670980	0.028180	-0.000761	-0.098948	-139.603337	-84.851323	-146.690414
59462	9.958829	-1.358614	-0.495361	0.114734	0.002407	-0.134087	-140.161662	-84.898411	-146.063518
59463	9.709853	-0.973770	-0.766024	0.065697	-0.000407	-0.146908	-140.835716	-84.948671	-145.348526
59464	9.591489	-0.784233	-0.907401	0.063595	-0.029460	-0.146945	-141.641973	-84.984777	-144.502257
59465	9.671463	-0.747457	-0.784037	0.042311	-0.034950	-0.158906	-142.557741	-85.021856	-143.558167
59466	9.713512	-0.947303	-0.801793	0.009112	-0.020166	-0.165107	-143.479813	-85.066136	-142.627089
59467	9.604817	-0.967288	-0.741425	0.041483	-0.010512	-0.182250	-144.456936	-85.119706	-141.622023
59468	9.641132	-0.867205	-0.670264	0.055617	-0.018262	-0.202006	-145.586235	-85.174143	-140.456387
59469	9.691647	-0.662544	-0.599276	0.037901	-0.018648	-0.219243	-146.853666	-85.232206	-139.162215
59470	9.643419	-0.651227	-0.715101	0.028499	-0.028823	-0.229911	-148.255579	-85.285697	-137.738818
59471	9.756049	-0.574132	-0.948910	0.023243	-0.017445	-0.228821	-149.647276	-85.341958	-136.328598
59472	9.801663	-0.366137	-1.018125	0.008625	-0.009063	-0.229028	-151.050752	-85.399225	-134.915289
59473	9.759277	-0.372632	-0.882310	-0.026536	-0.011460	-0.238661	-152.581243	-85.455344	-133.394670
59474	9.633338	-0.593025	-0.940967	-0.042600	0.001350	-0.251308	-154.197655	-85.517521	-131.797432
59475	9.542451	-0.608543	-0.917455	0.004367	0.009205	-0.266006	-155.909344	-85.584051	-130.077566
59476	9.559562	-0.447005	-0.716323	0.023593	0.007982	-0.257916	-157.604774	-85.643703	-128.363324
59477	9.647628	-0.329076	-0.589262	0.026370	0.010379	-0.256774	-159.333135	-85.700850	-126.614377
59478	9.735969	-0.350141	-0.500753	0.025857	0.017510	-0.249134	-161.029609	-85.755993	-124.898048
59479	9.843770	-0.408008	-0.708801	0.066998	0.040661	-0.240297	-162.629690	-85.818846	-123.254649
59480	9.857904	-0.264749	-0.874275	0.127290	0.041387	-0.239367	-164.230169	-85.878176	-121.576563
59481	9.905508	0.065104	-0.849047	0.169467	0.039463	-0.240759	-165.871851	-85.933550	-119.832842
59482	9.945404	0.343709	-0.994605	0.119388	0.042104	-0.242511	-167.592361	-85.986589	-118.039196
59483	9.921136	0.282139	-0.981484	0.070002	0.046834	-0.232414	-169.302120	-86.037671	-116.284590
59484	9.855223	0.173044	-0.860200	0.050256	0.058459	-0.234282	-171.062608	-86.091425	-114.490789
59485	9.654355	0.007409	-0.888120	0.009291	0.067772	-0.224141	-172.803880	-86.146207	-112.739686
59486	9.609482	-0.052913	-0.774720	-0.025735	0.059878	-0.221033	-174.588884	-86.192277	-110.965168
59487	9.702979	-0.022979	-0.851130	-0.061285	0.066194	-0.226136	-176.482139	-86.238691	-109.102473
59488	9.789213	0.008695	-1.006944	-0.083293	0.082242	-0.230269	-178.460170	-86.289881	-107.167759
59489	9.795058	-0.019835	-0.947916	-0.101202	0.083486	-0.238995	179.415455	-86.337605	-105.096593
59490	9.779589	-0.063025	-0.820518	-0.139670	0.085002	-0.242331	177.191445	-86.380724	-102.947975
59491	9.689727	-0.220280	-0.768578	-0.177890	0.094194	-0.253251	174.782875	-86.423426	-100.636282
