// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
59431	8.626699	-4.177216	1.838571	0.012305	0.009308	-0.009340	-65.610603	-62.651695	81.249513
59432	8.652048	-4.188491	1.808156	0.012870	0.008437	-0.014692	-65.588409	-62.657722	81.232887
59433	8.658043	-4.184882	1.775654	0.017603	0.012034	-0.016915	-65.558917	-62.663784	81.211051
59434	8.680193	-4.144521	1.836172	0.023782	0.019012	-0.014941	-65.519668	-62.667424	81.182266
59435	8.621275	-4.141827	1.829289	0.022122	0.019810	-0.007453	-65.484082	-62.666689	81.156482
59436	8.608989	-4.113469	1.848724	0.017124	0.015740	-0.006838	-65.455667	-62.666867	81.135599
59437	8.648367	-4.099857	1.857482	0.012221	0.006702	0.003753	-65.444137	-62.663399	81.130508
59438	8.568534	-4.168496	1.841824	0.006759	0.012340	0.000646	-65.428539	-62.660482	81.117367
59439	8.593552	-4.180607	1.811315	0.013355	0.004955	-0.006949	-65.413194	-62.663000	81.108711
59440	8.626085	-4.179139	1.800539	0.020483	0.012556	-0.012555	-65.383425	-62.666904	81.088470
59441	8.658643	-4.177190	1.790777	0.028142	0.021100	-0.014952	-65.339644	-62.669725	81.057338
59442	8.628176	-4.164862	1.859548	0.027958	0.023468	-0.011832	-65.294921	-62.670628	81.025086
59443	8.666085	-4.161049	1.816635	0.033025	0.024141	-0.011747	-65.246764	-62.671026	80.992176
59444	8.686487	-4.089731	1.827472	0.031029	0.027864	-0.006575	-65.198297	-62.668114	80.957690
