// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
02471	8.964791	3.878748	2.082358	-0.263917	-0.058018	-0.030346	52.065290	-70.970238	59.072362
02472	8.676932	4.178017	2.255200	-0.246126	-0.047584	-0.030371	52.021496	-70.972629	58.975265
02473	8.371702	4.525880	2.411866	-0.295662	-0.048916	-0.068289	51.991432	-70.957902	58.833635
02474	8.120880	4.586253	2.571920	-0.392192	-0.082810	-0.129778	52.011344	-70.927859	58.580579
02475	8.214580	4.595553	2.641070	-0.501549	-0.130038	-0.217506	52.120539	-70.874134	58.166675
02476	8.470262	4.289792	2.693899	-0.616256	-0.150986	-0.286606	52.257643	-70.796777	57.653476
02477	8.754004	4.043321	2.636694	-0.645771	-0.152785	-0.329672	52.422138	-70.699398	57.093069
02478	8.776594	3.834517	2.682118	-0.671294	-0.124598	-0.366395	52.566255	-70.575674	56.538392
02479	8.696886	3.708823	2.644681	-0.739319	-0.116586	-0.416337	52.707019	-70.425213	55.945434
02480	8.782459	3.482477	2.560798	-0.800395	-0.116109	-0.463899	52.850599	-70.253147	55.311755
02481	8.742602	3.193538	2.377349	-0.877664	-0.137065	-0.494048	53.000038	-70.073178	54.624047
02482	9.263040	3.026794	2.259405	-0.928707	-0.192036	-0.486299	53.173120	-69.915835	53.879356
02483	9.366600	2.832017	1.990362	-0.956026	-0.188704	-0.449439	53.286784	-69.772778	53.180527
02484	9.174475	2.897455	1.969037	-0.897408	-0.181766	-0.429409	53.399648	-69.636933	52.517778
02485	9.107475	3.186759	2.093304	-0.912323	-0.182004	-0.452553	53.521524	-69.489174	51.835636
02486	8.931479	3.045806	1.972100	-0.998896	-0.183603	-0.478668	53.611987	-69.330351	51.133426
02487	9.119508	2.973580	1.790404	-1.011590	-0.208628	-0.511225	53.749822	-69.163601	50.371977
02488	9.098660	2.862134	1.737930	-1.021629	-0.171266	-0.552986	53.864481	-68.965204	49.628308
02489	9.006550	2.604631	1.732198	-1.056099	-0.189052	-0.579171	53.996569	-68.759199	48.843720
02490	9.255742	2.112185	1.620005	-1.130061	-0.232395	-0.607703	54.151857	-68.554727	47.987682
02491	9.757521	1.647803	1.292170	-1.086632	-0.267081	-0.615171	54.370649	-68.356475	47.088892
02492	9.942707	1.373210	1.439271	-0.951288	-0.144796	-0.605261	54.503948	-68.121981	46.364351
02493	10.100453	1.178713	1.576090	-0.851177	-0.185191	-0.554806	54.692105	-67.922868	45.641368
02494	10.761996	1.188008	1.853968	-0.720299	-0.198708	-0.431037	54.861955	-67.786151	45.018288
02495	10.021380	1.756690	1.795453	-0.475150	-0.137911	-0.351539	55.035152	-67.665255	44.542774
02496	9.588810	2.412087	3.243791	-0.385756	0.098435	-0.333761	54.971951	-67.475626	44.377918
02497	8.438510	2.811828	2.888046	-0.521418	0.183571	-0.411491	54.797021	-67.220909	44.249602
02498	8.992280	3.438131	3.309868	-0.723964	0.009968	-0.453451	54.730331	-67.004776	43.877644
02499	7.856566	1.949808	2.171534	-0.971587	-0.026546	-0.482553	54.582551	-66.786655	43.438944
02500	7.377723	1.924603	1.510717	-0.881556	-0.058397	-0.591387	54.599713	-66.529239	42.876056
02501	8.701238	0.903903	1.428765	-1.261436	-0.773175	-0.449463	55.058660	-66.572530	41.593852
02502	9.861481	-0.580062	0.226589	-1.533296	-0.694235	-0.433179	55.265512	-66.595421	40.417001
02503	10.137121	-1.720014	-1.154158	-1.670423	-0.820035	-0.265210	55.409344	-66.736417	39.223896
02504	12.012599	-3.658832	-1.333895	-2.035738	-0.974127	-0.094808	55.394927	-67.008004	37.977158
02505	16.206598	-6.218603	-2.231379	-2.016828	-1.399810	0.247942	55.631548	-67.578310	36.473915
02506	13.904947	-7.794143	-7.760755	-1.036801	-0.712740	0.464536	55.498116	-68.028131	35.982309
02507	13.051337	1.427188	-3.816747	2.671073	1.130764	-0.014953	55.732064	-67.654806	37.388175
02508	5.662709	6.210710	9.112519	2.298995	2.118429	0.130536	54.565153	-67.021794	40.085974
02509	6.922459	7.661070	7.575645	-1.614360	-1.280787	0.114582	54.984673	-67.498346	38.634214
02510	10.761488	0.535885	-1.680731	-2.225692	-1.541431	0.206007	55.324257	-68.099258	36.895985
02511	11.307286	0.737844	-2.574903	0.582481	0.340846	0.296964	55.021552	-68.126962	37.587839
02512	8.220240	3.808352	4.109169	1.162083	0.803857	0.214512	54.582041	-67.961279	38.785470
02513	8.057764	4.411511	4.481091	-0.492527	-0.289559	0.108280	54.550393	-68.107645	38.521314
