// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
49091	9.700724	0.560669	-1.069274	-0.062021	-0.009583	-0.029063	156.115854	-84.272953	-145.138492
49092	9.776811	0.185239	-1.133264	-0.040481	-0.021354	-0.026799	156.039799	-84.255768	-145.084461
49093	9.779252	0.063255	-1.131359	0.013114	-0.013661	-0.019593	156.025943	-84.243174	-145.062458
49094	9.710261	0.213672	-1.077934	0.028008	-0.009258	-0.022061	155.986232	-84.233418	-145.005514
49095	9.652576	0.292295	-1.032806	0.061753	-0.008337	-0.026448	155.953055	-84.222001	-144.936082
49096	9.695857	0.413283	-1.075173	0.061736	-0.007772	-0.017548	155.952857	-84.214071	-144.899427
49097	9.695668	0.580004	-1.145573	0.044111	-0.015457	-0.017667	155.971629	-84.200966	-144.892368
49098	9.641380	0.650498	-1.032469	0.029050	-0.009969	-0.013245	155.980004	-84.192891	-144.883153
49099	9.624062	0.546787	-1.009138	0.041406	-0.007172	-0.021869	155.956501	-84.183113	-144.835161
49100	9.713519	0.757092	-0.975714	0.044463	-0.022828	-0.009804	156.020773	-84.169111	-144.873255
49101	9.768384	0.994189	-0.799462	0.003137	-0.026948	0.002988	156.147399	-84.154740	-144.998211
49102	9.701921	0.923157	-0.857920	-0.045747	-0.023245	0.013628	156.280132	-84.145919	-145.157084
49103	9.645567	0.806215	-1.007917	-0.083551	-0.017405	0.014793	156.394415	-84.139197	-145.319560
49104	9.655553	0.759774	-1.101351	-0.129671	-0.021386	0.023322	156.523755	-84.133502	-145.523363
49105	9.658270	0.634434	-1.098955	-0.161434	-0.025649	0.029256	156.684582	-84.125624	-145.777492
49106	9.604848	0.487830	-1.131165	-0.150390	-0.023193	0.024172	156.809596	-84.119066	-145.988886
49107	9.605626	0.366118	-1.163708	-0.138370	-0.022050	0.034180	156.999870	-84.114025	-146.259342
49108	9.674981	0.166887	-1.088198	-0.187463	-0.042135	0.034351	157.195660	-84.099606	-146.563249
49109	9.870517	-0.116241	-0.786482	-0.086294	-0.028801	0.036626	157.441539	-84.091320	-146.859623
49110	9.872987	-0.077659	-0.853622	-0.034344	-0.015305	0.036988	157.679928	-84.091435	-147.118165
49111	9.745381	0.100021	-1.001241	-0.008059	-0.017057	0.034754	157.935950	-84.088751	-147.379670
49112	9.696829	0.392365	-1.035821	-0.016390	-0.027681	0.028698	158.167386	-84.080285	-147.620881
49113	9.692727	0.493583	-1.339233	-0.043854	-0.025731	0.028308	158.386861	-84.071396	-147.866269
49114	9.652584	0.506476	-1.249972	-0.031922	-0.015060	0.035952	158.619924	-84.070986	-148.118069
49115	9.773039	0.409187	-1.076728	-0.054257	0.000583	0.028489	158.780866	-84.075951	-148.310610
49116	9.777873	0.301662	-1.088473	-0.074258	0.015876	0.026236	158.878294	-84.089912	-148.450431
49117	9.707703	0.286373	-0.997331	-0.061778	0.019506	0.015901	158.933058	-84.102313	-148.540553
49118	9.655880	0.422356	-1.028481	-0.049247	0.013441	0.023147	159.034622	-84.114298	-148.670120
49119	9.575042	0.501163	-0.978601	-0.074871	-0.000112	0.032048	159.205422	-84.119452	-148.884430
49120	9.693504	0.407916	-0.839137	-0.101819	-0.004352	0.026971	159.332674	-84.122611	-149.070098
49121	9.709578	0.252156	-0.910744	-0.110469	0.004831	0.024884	159.436430	-84.128869	-149.237508
49122	9.566739	0.179807	-0.981585	-0.099189	-0.012618	0.030990	159.602648	-84.128315	-149.460830
49123	9.621422	0.225787	-1.032866	-0.091930	-0.033977	0.033624	159.837849	-84.115355	-149.749700
49124	9.728796	0.180892	-1.151260	-0.095696	-0.024352	0.029557	160.020281	-84.108041	-149.987317
