// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
49091	9.280405	0.401864	3.290719	0.084729	-0.022235	0.090107	6.574547	-76.052987	74.296386
49092	9.304624	0.960692	3.441962	0.105423	0.097676	0.059735	6.476447	-75.999675	74.464899
49093	9.164646	0.682412	3.479724	-0.129269	0.120166	0.036797	6.293899	-75.932791	74.582040
49094	9.024300	0.568547	3.244721	-0.068304	0.116074	-0.002057	6.234510	-75.864811	74.608114
49095	9.189614	0.854626	3.318131	-0.230049	-0.016348	-0.033953	6.189520	-75.871213	74.523910
49096	9.213173	0.372135	2.786238	-0.275734	-0.012198	-0.058988	6.172172	-75.872659	74.384091
49097	9.268037	0.624270	2.793543	-0.295130	0.062637	-0.085842	6.187710	-75.830881	74.199004
49098	9.370170	0.413137	2.837554	-0.434160	0.021020	-0.094775	6.151749	-75.811153	73.984732
49099	9.365598	0.479511	2.756179	-0.391413	0.016949	-0.107606	6.171637	-75.794077	73.738214
49100	9.421269	0.713196	2.738245	-0.485476	0.027666	-0.119627	6.159973	-75.768989	73.468512
49101	9.370162	0.524890	2.593747	-0.509036	0.047261	-0.132972	6.161128	-75.733087	73.171732
49102	9.385408	0.643162	2.527345	-0.545713	0.018294	-0.143240	6.169068	-75.711854	72.846125
49103	9.326053	0.511496	2.223795	-0.577855	0.002153	-0.157988	6.196648	-75.700074	72.481328
49104	9.169612	0.487869	1.910058	-0.550002	-0.002213	-0.176514	6.280809	-75.688348	72.074489
49105	9.407890	0.385521	1.846972	-0.624851	-0.094338	-0.182793	6.360777	-75.729736	71.627849
49106	9.549427	0.041456	1.510937	-0.587213	-0.140989	-0.177555	6.462862	-75.796717	71.180652
49107	9.651349	0.140251	1.413006	-0.528336	-0.117330	-0.165168	6.568552	-75.851964	70.764746
49108	9.764568	-0.074026	1.196910	-0.554803	-0.133518	-0.153883	6.638338	-75.916009	70.370233
49109	9.864190	-0.406461	0.943909	-0.483260	-0.143440	-0.128653	6.698157	-75.988272	70.028469
49110	9.897223	-0.451194	0.760463	-0.422867	-0.148992	-0.096292	6.720316	-76.064977	69.761166
49111	9.906868	-0.533007	0.693846	-0.358228	-0.142792	-0.062547	6.703533	-76.141235	69.572336
49112	9.908091	-0.589716	0.414480	-0.270763	-0.152873	-0.034455	6.673429	-76.224521	69.448762
49113	10.021497	-0.572672	0.432348	-0.213187	-0.202439	0.000955	6.609993	-76.338989	69.393641
49114	10.047494	-0.492081	0.427912	-0.084491	-0.178391	0.032111	6.537898	-76.441481	69.423171
49115	9.943702	-0.232171	0.323108	0.019319	-0.120714	0.055035	6.457243	-76.512963	69.522821
49116	10.546396	0.637179	1.757444	-0.099663	-0.066906	0.078358	6.234738	-76.555125	69.698045
49117	9.998540	0.022472	1.895551	-0.112345	0.407873	0.099435	5.839546	-76.327914	70.043662
49118	9.167196	0.180544	2.532393	-0.040905	0.575543	0.098325	5.460020	-76.004470	70.415543
49119	8.753578	-0.023080	2.842275	-0.054410	0.147350	0.056043	5.275415	-75.922617	70.579018
49120	9.165212	0.097936	2.541584	0.007703	-0.215402	0.027009	5.266893	-76.046046	70.597502
49121	9.598127	0.203244	2.180000	0.005796	-0.114355	0.016199	5.263234	-76.111341	70.610013
49122	9.468106	0.182705	2.260063	-0.018988	0.097768	0.022870	5.182450	-76.055858	70.687182
49123	9.188324	0.036988	2.526067	-0.009397	0.089861	0.008908	5.144057	-76.004239	70.726516
49124	9.187492	0.141491	2.548779	0.023257	-0.086702	-0.016170	5.215796	-76.051974	70.671470
49125	9.423180	0.135372	2.318796	0.007502	-0.184422	-0.024844	5.322657	-76.155086	70.571133
49126	9.598024	0.150088	2.229451	0.033111	-0.116256	-0.026466	5.431655	-76.219065	70.483568
49127	9.597150	0.273374	2.275175	0.025081	-0.031789	-0.021270	5.508646	-76.235232	70.424409
49128	9.550373	0.243130	2.365705	-0.010071	-0.020487	-0.010762	5.535777	-76.245419	70.395680
49129	9.560713	0.224182	2.374046	0.006877	-0.035998	-0.001696	5.557866	-76.265052	70.382310
49130	9.638912	0.284814	2.302325	0.005028	-0.044215	0.014467	5.540222	-76.290160	70.408581
49131	9.611103	0.237076	2.244900	-0.024361	0.005519	0.027666	5.466400	-76.287730	70.475516
49132	9.521673	0.208336	2.335876	-0.023756	0.072209	0.033983	5.360765	-76.247478	70.575393
49133	9.398938	0.187553	2.364010	-0.019625	0.054476	0.033346	5.266140	-76.217368	70.666557
49134	9.406434	0.180789	2.407563	-0.015066	-0.009462	0.033705	5.184390	-76.223618	70.746987
49135	9.463920	0.189722	2.324107	-0.011165	-0.021982	0.033840	5.109869	-76.237100	70.822442
49136	9.440496	0.169937	2.369804	-0.013434	0.004270	0.040642	5.009886	-76.235802	70.922602
49137	9.433391	0.147951	2.399139	-0.010190	0.007423	0.043074	4.908262	-76.232898	71.026536
49138	9.392455	0.150225	2.392022	-0.011180	-0.033416	0.047787	4.800327	-76.253365	71.136209
49139	9.458716	0.154882	2.346739	-0.007567	-0.065855	0.042523	4.715498	-76.292189	71.224383
49140	9.500510	0.165083	2.276753	-0.007373	-0.054612	0.037272	4.637656	-76.324179	71.305296
49141	9.574544	0.167066	2.273429	-0.007511	-0.030102	0.040011	4.551165	-76.342409	71.395193
49142	9.543311	0.150464	2.276916	-0.014104	-0.005177	0.036783	4.460850	-76.346089	71.484962
49143	9.496561	0.119663	2.269615	-0.013444	0.008179	0.033085	4.379985	-76.342079	71.565565
49144	9.487610	0.115300	2.330363	-0.014235	0.024909	0.021392	4.320390	-76.327850	71.623645
49145	9.402875	0.143308	2.351413	-0.013866	0.024209	0.016487	4.275593	-76.313929	71.666887
49146	9.363800	0.111703	2.386614	-0.007532	0.003376	0.003448	4.265872	-76.311212	71.677592
49147	9.429065	0.120645	2.344887	-0.008562	-0.026013	-0.005810	4.285289	-76.325029	71.657872
49148	9.446262	0.119617	2.324827	-0.009426	-0.022701	-0.015293	4.323079	-76.336397	71.618563
49149	9.413483	0.124676	2.358309	-0.003494	-0.021361	-0.018419	4.374318	-76.347003	71.569085
49150	9.430837	0.124832	2.337529	-0.001480	-0.042377	-0.024480	4.441999	-76.369184	71.503705
49151	9.463660	0.140124	2.327657	0.003694	-0.057209	-0.030371	4.532440	-76.399702	71.418139
49152	9.505076	0.157405	2.258163	0.002926	-0.051067	-0.033409	4.625918	-76.426386	71.328833
49153	9.507040	0.139701	2.324647	0.002814	-0.025718	-0.035942	4.723665	-76.438595	71.235249
49154	9.489695	0.165880	2.270347	0.000413	-0.015721	-0.033356	4.809142	-76.445031	71.152701
49155	9.529750	0.178467	2.305208	-0.002583	-0.011519	-0.033472	4.895350	-76.449185	71.067812
49156	9.475046	0.157509	2.255549	-0.003041	-0.007783	-0.030827	4.971366	-76.451159	70.992964
49157	9.481737	0.173697	2.326727	-0.001383	-0.004932	-0.037551	5.066629	-76.451291	70.899469
49158	9.425501	0.169656	2.307461	0.001029	-0.014920	-0.040145	5.168604	-76.456804	70.800319
49159	9.452300	0.152238	2.298226	0.002710	-0.035221	-0.041313	5.281793	-76.473944	70.690804
49160	9.466725	0.187268	2.337208	0.008712	-0.049461	-0.045287	5.408360	-76.498791	70.570900
49161	9.492701	0.191685	2.255704	0.003759	-0.044856	-0.049654	5.544855	-76.520856	70.438057
49162	9.493526	0.196556	2.251808	0.002049	-0.037106	-0.051589	5.680585	-76.538172	70.304828
49163	9.518751	0.196582	2.273066	0.000952	-0.010158	-0.053013	5.815880	-76.540117	70.171581
49164	9.487230	0.188489	2.277562	0.003836	-0.006311	-0.045676	5.931441	-76.540086	70.060149
49165	9.455758	0.180029	2.281931	-0.000690	-0.013003	-0.046294	6.050569	-76.543923	69.942560
49166	9.454441	0.200909	2.311058	-0.001717	-0.014206	-0.051651	6.179221	-76.547915	69.814398
49167	9.502896	0.217101	2.286234	0.004541	-0.021091	-0.053312	6.320330	-76.555797	69.677296
49168	9.525018	0.254223	2.268097	0.002086	-0.018666	-0.044322	6.435081	-76.562653	69.565673
49169	9.458208	0.182309	2.246243	-0.005887	0.009372	-0.046792	6.546632	-76.553481	69.452820
49170	9.418007	0.172533	2.311753	-0.005047	0.011663	-0.055459	6.675447	-76.542237	69.322529
49171	9.454634	0.225180	2.308028	0.004019	-0.012586	-0.063536	6.838369	-76.544308	69.162684
49172	9.486459	0.244233	2.301003	0.007035	-0.023468	-0.062335	7.000319	-76.552400	69.005439
49173	9.493620	0.267936	2.269652	0.005872	-0.030048	-0.058262	7.157144	-76.564563	68.852965
49174	9.462451	0.260486	2.272785	0.000992	-0.015944	-0.057265	7.301691	-76.568543	68.710065
49175	9.483996	0.210652	2.262868	0.004228	-0.012784	-0.054838	7.444500	-76.570966	68.571039
49176	9.509370	0.298885	2.276920	0.010618	-0.022687	-0.054244	7.589647	-76.578834	68.433197
49177	9.509860	0.303595	2.274247	0.003883	-0.033058	-0.041333	7.706805	-76.593644	68.320349
49178	9.478959	0.294187	2.276592	-0.001120	-0.030195	-0.035093	7.802439	-76.607120	68.226507
49179	9.476155	0.247286	2.241471	0.000294	-0.035516	-0.038857	7.912917	-76.623423	68.118424
49180	9.503264	0.230129	2.231413	0.004575	-0.029431	-0.041676	8.027689	-76.635859	68.008277
49181	9.528692	0.317159	2.244616	0.009077	-0.022716	-0.041070	8.144618	-76.644623	67.898748
49182	9.558871	0.350291	2.267926	0.004862	-0.012583	-0.033989	8.235726	-76.648035	67.813098
49183	9.487602	0.330083	2.236625	-0.002715	-0.003435	-0.026297	8.304091	-76.647003	67.746541
49184	9.444721	0.267462	2.268485	0.000563	-0.012820	-0.026973	8.376138	-76.651079	67.677952
49185	9.476625	0.283318	2.260927	0.004344	-0.032626	-0.029207	8.465877	-76.666307	67.593589
49186	9.493978	0.285038	2.239080	0.007785	-0.050021	-0.037134	8.579907	-76.690545	67.486116
49187	9.509881	0.303268	2.247049	0.006371	-0.044694	-0.033375	8.685696	-76.712178	67.386468
49188	9.523540	0.342264	2.185952	0.007228	-0.027048	-0.032478	8.780461	-76.723719	67.298479
49189	9.510918	0.309476	2.241806	0.001590	-0.010746	-0.026926	8.855873	-76.726624	67.227237
49190	9.423131	0.290562	2.228699	0.002373	-0.002608	-0.031397	8.936281	-76.724369	67.151144
49191	9.430108	0.306847	2.299772	0.014924	-0.010465	-0.030548	9.027951	-76.726745	67.071048
49192	9.404104	0.331215	2.304125	0.015790	-0.045327	-0.034898	9.140869	-76.748278	66.969456
49193	9.433640	0.297743	2.260226	0.009532	-0.090971	-0.038477	9.280258	-76.795385	66.837181
49194	9.499908	0.312684	2.210051	0.016866	-0.093143	-0.056039	9.464948	-76.841848	66.662541
49195	9.580888	0.343316	2.172640	0.027004	-0.080659	-0.052538	9.646310	-76.881608	66.497494
49196	9.593200	0.400397	2.139289	0.016592	-0.042986	-0.043622	9.782066	-76.900710	66.372990
49197	9.562123	0.391230	2.142754	0.007064	-0.000228	-0.036906	9.881563	-76.896411	66.280289
49198	9.527910	0.326448	2.218034	0.002518	0.022640	-0.035429	9.961884	-76.879188	66.204423
49199	9.469479	0.337603	2.232218	0.010832	0.009584	-0.037080	10.059539	-76.869270	66.115822
49200	9.459155	0.360740	2.221479	0.012439	-0.005455	-0.037491	10.162271	-76.867627	66.022773
49201	9.427884	0.351542	2.226020	0.016102	-0.015498	-0.043103	10.288247	-76.871164	65.908191
49202	9.454864	0.335504	2.216595	0.014488	-0.032836	-0.051246	10.437538	-76.883436	65.768542
49203	9.486819	0.354480	2.207509	0.024506	-0.039340	-0.058491	10.616540	-76.898654	65.604468
49204	9.508638	0.393151	2.187046	0.026037	-0.041839	-0.055799	10.788199	-76.915319	65.448666
49205	9.515433	0.416791	2.154510	0.022722	-0.032469	-0.055121	10.955591	-76.926812	65.295481
49206	9.488497	0.372025	2.197384	0.019261	-0.020071	-0.056708	11.115977	-76.930930	65.147280
49207	9.447186	0.383788	2.190117	0.017070	-0.021165	-0.059083	11.284730	-76.935430	64.989382
49208	9.489137	0.384096	2.192541	0.018485	-0.036816	-0.062925	11.468126	-76.948049	64.817110
49209	9.461564	0.427738	2.226159	0.021676	-0.043126	-0.065889	11.667297	-76.963865	64.630712
49210	9.392617	0.476975	2.253725	0.024235	-0.054766	-0.057894	11.851652	-76.986873	64.460860
49211	9.326692	0.421769	2.257644	0.015613	-0.073414	-0.059857	12.049411	-77.020101	64.272382
49212	9.385357	0.437190	2.264776	0.012769	-0.146027	-0.066490	12.297919	-77.092889	64.030021
49213	9.521644	0.428199	2.202193	0.023248	-0.244287	-0.067532	12.615058	-77.220392	63.723701
49214	9.623345	0.442792	2.099103	0.028147	-0.270854	-0.061569	12.938215	-77.362964	63.414078
49215	9.690978	0.447475	1.902856	0.020846	-0.204854	-0.054264	13.210421	-77.469437	63.152701
49216	9.769533	0.511048	1.919068	0.016833	-0.087129	-0.041854	13.379211	-77.511556	62.994801
49217	9.619845	0.464873	1.917350	0.003836	0.028275	-0.035782	13.460039	-77.490215	62.919550
